borough,block,longitude,latitude
BK,5983,-74.0176548328,40.6223216668
BK,6714,-73.9633318911,40.622921433
BK,5928,-74.0295076157,40.6322651184
QN,5746,-73.8005858158,40.7793080406
BK,4597,-73.9257660142,40.6632193747
BK,7405,-73.9426077161,40.5953707469
QN,159,-73.9213556106,40.7461303379
BK,3521,-73.9107915632,40.6679212052
BK,716,-74.0130730625,40.6545255806
BK,6547,-73.9756463773,40.6164223779
BK,7616,-73.9421058059,40.6263955342
BK,7824,-73.9327572219,40.6242409888
QN,210,-73.9266313733,40.7381643005
QN,2813,-73.8865093569,40.7266992124
BK,422,-73.9930200532,40.6824311428
BK,183,-73.9854668022,40.6870499241
BK,1290,-73.9498289733,40.6670475903
BK,4598,-73.9256050638,40.6641433015
BK,2729,-73.9422358207,40.7215794922
BK,7724,-73.9375897481,40.6329365895
BK,8646,-73.9115256772,40.6090423024
BK,7887,-73.9319818127,40.6157566409
QN,2015,-73.8523397088,40.7506806907
BK,1666,-73.9304847035,40.6836633589
BK,330,-74.0012408443,40.6853412131
BK,5155,-73.9662011078,40.6383637808
QN,1343,-73.8988905808,40.7433441224
QN,680,-73.9160872737,40.7618722644
QN,3200,-73.8534343146,40.7179607948
QN,1690,-73.865646773,40.7604406294
QN,3240,-73.8489201389,40.7107752653
BK,717,-74.0102256551,40.6528085961
BK,1663,-73.9238887274,40.6848898889
BK,5999,-74.0242084729,40.6247358217
QN,654,-73.9132321909,40.7667717768
QN,624,-73.9211984667,40.7618606889
BK,8289,-73.8850309158,40.6420109087
BK,784,-74.0087862732,40.6446441506
BK,3446,-73.9065382546,40.6868298269
BK,8501,-73.9337526627,40.6102172568
QN,3532,-73.8964822304,40.7053148592
QN,2905,-73.8805032727,40.7310075759
QN,6360,-73.8305512755,40.7474494757
QN,5152,-73.8174378852,40.7481047175
BK,2810,-73.937770779,40.7232808887
BK,2772,-73.942050778,40.7135846394
QN,1693,-73.8624457152,40.7602211773
QN,1520,-73.8899100403,40.7419760208
QN,1217,-73.9003644942,40.7485747904
BK,3150,-73.936031773,40.6979852846
BK,4698,-73.9293748024,40.6508321043
BK,4749,-73.9166155983,40.649626894
BK,6762,-73.9580094658,40.6117443999
BK,6277,-73.9889587568,40.6053370804
QN,642,-73.925077695,40.7575997184
BK,2450,-73.9535285532,40.7083892571
BK,6825,-73.9532278936,40.6051373454
QN,1783,-73.8556005211,40.752688191
BK,1781,-73.9434551582,40.6919174888
BK,1265,-73.9398940395,40.6701877308
BK,1800,-73.9430385669,40.6886871465
BK,1792,-73.9400774484,40.6907181496
BK,3361,-73.9138187766,40.6944561442
BK,2550,-73.9552665535,40.7309058853
BK,5297,-73.9850262382,40.638573527
BK,6663,-73.9656058184,40.6053329804
QN,3104,-73.8615351473,40.7252687891
QN,1275,-73.8902149175,40.7503660587
QN,1369,-73.8734604991,40.7631957778
BK,1207,-73.9485782973,40.6771857392
BK,208,-73.9971530025,40.6967507033
BK,3376,-73.9141710765,40.6923296863
BK,3349,-73.9186073016,40.690753659
BK,4951,-73.9439326243,40.6422608101
BK,3791,-73.8919389503,40.6676117278
BK,4070,-73.8781172897,40.6699598014
QN,1928,-73.860518528,40.7440860473
QN,6757,-73.8067293681,40.7380038892
QN,9860,-73.7952886572,40.7141800548
QN,8147,-73.7373573214,40.7745111901
BK,7019,-73.9861400733,40.5765917325
BK,7101,-73.9763840713,40.5984794727
QN,1298,-73.8980018114,40.7450443578
QN,10257,-73.7814491894,40.6991814816
QN,11290,-73.7317902476,40.6977479923
QN,9699,-73.8138688534,40.7056077533
QN,13470,-73.7565947491,40.6626842919
QN,1128,-73.8882633989,40.7604718084
QN,3239,-73.8452184785,40.7207260349
QN,739,-73.908298547,40.7600520965
QN,310,-73.9350025004,40.7347574448
QN,10738,-73.7357954989,40.7265088693
BK,7194,-73.9711429622,40.5898442995
QN,2641,-73.9094103125,40.715032213
QN,2449,-73.8885163842,40.7372430852
QN,10608,-73.7394569111,40.717544245
QN,8631,-73.7162276432,40.7316693445
QN,1149,-73.8887425894,40.7578675531
QN,1600,-73.8722993172,40.743595421
QN,3691,-73.8767914981,40.7054077627
QN,8702,-73.7062624599,40.7474531536
QN,7684,-73.7498932652,40.7444002669
BK,7720,-73.9343523407,40.6141543779
BK,8252,-73.8892800963,40.6436163507
BK,7439,-73.951588309,40.5900557912
BK,6870,-73.9860677663,40.5949657522
QN,727,-73.9118852362,40.75754753
QN,4969,-73.8331707931,40.76204955
QN,6027,-73.7879845543,40.7682644073
QN,3038,-73.8763676988,40.7163992881
QN,655,-73.921936014,40.7574005261
QN,3187,-73.854386527,40.7190976913
QN,135,-73.9157113396,40.7462039595
QN,4145,-73.8277270702,40.783886739
QN,3592,-73.8933395767,40.7002196904
BK,8537,-73.9283275263,40.6083948098
QN,1408,-73.8724949765,40.7602777786
QN,10873,-73.7527621164,40.7106173295
BK,7144,-73.9774194692,40.59317945
BK,7417,-73.9546694392,40.5917408679
BK,7805,-73.9205192412,40.6274137589
BK,6889,-73.9948178463,40.5953269212
QN,570,-73.9261387709,40.7666543957
QN,770,-73.9007258748,40.7712162462
QN,1199,-73.9018243679,40.750235908
QN,6173,-73.7719936887,40.7689844516
QN,3809,-73.8653510928,40.7098753605
QN,8232,-73.7343387162,40.7663382144
QN,7761,-73.7515787549,40.7369856225
BK,7881,-73.9203962713,40.6194720586
QN,5230,-73.8127270755,40.7474604176
QN,9088,-73.8516075264,40.6812445863
QN,383,-73.932510052,40.7534361112
QN,10045,-73.806467219,40.6914768977
QN,5665,-73.7841513467,40.7467444753
QN,8986,-73.8508398536,40.6891700604
