grid_x,grid_y,location,counts
37.0,99.0,ARTHUR KILL RD,1
44.0,41.0,HYLAN BLVD,1
66.0,47.0,HYLAN BLVD,1
73.0,96.0,BLOOMINGDALE RD,1
92.0,59.0,HYLAN BLVD,1
97.0,154.0,VETERANS RD EAST,2
98.0,152.0,ARTHUR KILL RD,1
103.0,154.0,ARTHUR KILL RD,1
104.0,155.0,ARTHUR KILL RD,1
106.0,158.0,ARTHUR KILL RD,1
107.0,159.0,ARTHUR KILL RD,1
108.0,70.0,HYLAN BLVD,1
112.0,152.0,ARDEN AV,1
114.0,149.0,ARDEN AV,1
115.0,104.0,Drumgoole Rd,1
126.0,80.0,HYLAN BLVD,1
135.0,172.0,ARTHUR KILL RD,1
136.0,85.0,HYLAN BLVD,1
136.0,246.0,VICTORY BLVD,1
139.0,268.0,SOUTH AV,1
144.0,167.0,ARTHUR KILL RD,1
144.0,276.0,SOUTH AV,1
145.0,309.0,FOREST AV,1
147.0,309.0,FOREST AV,1
150.0,311.0,FOREST AV,1
151.0,161.0,ELTINGVILLE TRANSIT CTR,1
151.0,337.0,HOLLAND AV,1
152.0,161.0,WAINWRIGHT AVE @ RICHMOND AVE,1
152.0,163.0,ARTHUR KILL RD,2
153.0,198.0,RICHMOND AV,1
154.0,197.0,RICHMOND AV,1
155.0,198.0,YUKON AV,1
156.0,144.0,RICHMOND AV,1
156.0,192.0,Independence Av,1
156.0,205.0,RING RD,1
156.0,224.0,RICHMOND AV,1
157.0,144.0,RICHMOND AV,1
157.0,311.0,FOREST AV,1
158.0,225.0,RICHMOND AV,1
159.0,316.0,SOUTH AV,1
160.0,161.0,ARTHUR KILL RD,1
161.0,229.0,RICHMOND AV,1
161.0,311.0,GRANDVIEW AV,1
161.0,318.0,GRANDVIEW AV,1
161.0,321.0,GRANDVIEW AV,1
162.0,125.0,RICHMOND AV,2
164.0,201.0,MARSH AV,1
164.0,309.0,FOREST AV,1
166.0,120.0,RICHMOND AV,1
166.0,334.0,RICHMOND TERRACE,1
167.0,213.0,MARSH AV,1
168.0,266.0,VICTORY BLVD,1
168.0,309.0,FOREST AV,1
172.0,278.0,RICHMOND AV,1
175.0,267.0,VICTORY BLVD,1
175.0,307.0,FOREST AV,1
180.0,103.0,HYLAN BLVD,1
180.0,104.0,RICHMOND AV,1
180.0,269.0,VICTORY BLVD,2
183.0,106.0,HYLAN BLVD,1
183.0,107.0,HYLAN BLVD,1
185.0,306.0,FOREST AV,1
186.0,111.0,HYLAN BLVD,1
189.0,271.0,VICTORY BLVD,1
190.0,115.0,HYLAN BLVD,1
190.0,305.0,FOREST AV,1
192.0,305.0,FOREST AV,1
193.0,121.0,HYLAN BLVD,1
194.0,122.0,HYLAN BLVD,1
196.0,300.0,WILLOWBROOK RD,1
196.0,305.0,FOREST AV,1
201.0,243.0,FOREST HILL RD,1
202.0,304.0,FOREST AV,1
205.0,134.0,HYLAN BLVD,1
207.0,304.0,FOREST AV,1
209.0,138.0,HYLAN BLVD,1
211.0,306.0,FOREST AV,1
212.0,237.0,BRIELLE AV,1
216.0,144.0,HYLAN BLVD,1
219.0,147.0,HYLAN BLVD,1
219.0,339.0,RICHMOND TERRACE,1
220.0,278.0,VICTORY BLVD,1
221.0,277.0,VICTORY BLVD,1
223.0,153.0,HYLAN BLVD,1
223.0,194.0,RICHMOND RD,1
225.0,153.0,HYLAN BLVD,1
225.0,332.0,RICHMOND TERRACE,1
226.0,197.0,RICHMOND RD,1
232.0,279.0,VICTORY BLVD,1
233.0,325.0,CASTLETON AV,1
236.0,269.0,MANOR RD,1
236.0,269.0,SCHMIDTS LANE,1
237.0,161.0,HYLAN BLVD,1
238.0,162.0,HYLAN BLVD,1
239.0,195.0,NEW DORP LANE,1
239.0,326.0,CASTLETON AV,1
241.0,327.0,CASTLETON AV,1
241.0,339.0,BROADWAY,1
242.0,327.0,BROADWAY,1
243.0,169.0,HYLAN BLVD,1
244.0,314.0,FOREST AV,1
245.0,171.0,HYLAN BLVD,1
246.0,172.0,HYLAN BLVD,2
248.0,176.0,HYLAN BLVD,1
248.0,280.0,VICTORY BLVD,1
249.0,175.0,HYLAN BLVD,1
250.0,173.0,EBBITTS ST,1
251.0,164.0,MILL RD,1
251.0,178.0,Hylan Blvd,1
252.0,186.0,NEW DORP LANE,1
253.0,316.0,FOREST AV,1
254.0,183.0,HYLAN BLVD,2
255.0,184.0,NEW DORP LANE,1
256.0,317.0,FOREST AV,1
257.0,182.0,NEW DORP LANE,1
258.0,188.0,HYLAN BLVD,1
259.0,190.0,HYLAN BLVD,1
260.0,180.0,NEW DORP LANE,1
262.0,193.0,HYLAN BLVD,1
263.0,179.0,NEW DORP LANE,1
263.0,285.0,VICTORY BLVD BETWEEN MARINE CORP BD & SENEC,1
263.0,290.0,CLOVE RD,1
265.0,221.0,RICHMOND RD,1
266.0,198.0,HYLAN BLVD,1
266.0,200.0,HYLAN BLVD,2
266.0,284.0,CLOVE RD,1
268.0,175.0,NEW DORP LANE,2
268.0,200.0,MIDLAND AV,1
268.0,225.0,RICHMOND RD,2
270.0,230.0,RICHMOND RD,1
270.0,319.0,FOREST AV,1
274.0,296.0,VICTORY BLVD,1
275.0,325.0,CASTLETON AV,1
277.0,212.0,HYLAN BLVD,1
279.0,343.0,LAFAYETTE AV,1
281.0,190.0,MIDLAND AV,1
283.0,217.0,HYLAN BLVD,1
283.0,351.0,Richmond Terrace,1
285.0,308.0,VICTORY BLVD,1
286.0,254.0,TARGEE ST,1
286.0,309.0,VICTORY BLVD,1
287.0,185.0,MIDLAND AV,1
287.0,271.0,NARROWS RD NORTH,1
289.0,226.0,HYLAN BLVD,1
289.0,266.0,TARGEE ST,1
289.0,267.0,CLOVE RD,1
289.0,317.0,FOREST AV,1
289.0,353.0,RICHMOND TERRACE,1
290.0,354.0,RICHMOND TERRACE,1
292.0,189.0,FR CAPODANNO BLVD,1
292.0,233.0,HYLAN BLVD,1
294.0,239.0,HYLAN BLVD,1
296.0,277.0,TARGEE ST,1
296.0,325.0,CEBRA AV,1
296.0,326.0,VICTORY BLVD,1
297.0,280.0,TARGEE ST,1
297.0,283.0,TARGEE ST,1
297.0,357.0,RICHMOND TERRACE,1
298.0,194.0,FR CAPODANNO BLVD,1
298.0,356.0,RICHMOND TERRACE,1
300.0,302.0,BROAD ST,1
301.0,302.0,BROAD ST,1
303.0,355.0,RICHMOND TERRACE,1
304.0,290.0,VANDERBILT AV,1
305.0,304.0,BROAD ST,1
305.0,314.0,BEACH ST,1
306.0,304.0,TOMPKINS AV,1
308.0,203.0,FR CAPODANNO BLVD,1
308.0,298.0,TOMPKINS AV,1
308.0,308.0,CANAL ST,1
308.0,309.0,CANAL ST,1
309.0,204.0,FR CAPODANNO BLVD,1
309.0,294.0,VANDERBILT AV,1
309.0,296.0,TOMPKINS AV,1
309.0,334.0,VICTORY BLVD,1
310.0,295.0,TOMPKINS AV,1
310.0,334.0,VICTORY BLVD,1
311.0,261.0,HYLAN BLVD,1
311.0,262.0,NARROWS RD S,1
311.0,313.0,BAY ST,1
311.0,346.0,RICHMOND TER BETWEEN BAY ST & SHUYLER ST,1
312.0,333.0,BAY ST,1
312.0,336.0,BAY ST,1
312.0,345.0,RICHMOND TERRACE,1
312.0,347.0,RICHMOND TER BETWEEN BAY ST & SHOLER & FERR,1
313.0,297.0,VANDERBILT AV,1
313.0,323.0,BAY ST,1
313.0,327.0,BAY ST,1
313.0,344.0,ST GEORGE FERRY TERMINAL @ RICHMOND TERRACE,1
314.0,271.0,HYLAN BLVD,1
316.0,345.0,ST GEORGE FERRY TERMINAL,1
317.0,300.0,BAY ST,1
319.0,247.0,SAND LANE,1
319.0,297.0,BAY ST,1
321.0,242.0,MCCLEAN AV,2
321.0,243.0,SAND LANE,1
322.0,220.0,FR CAPODANNO BLVD,1
322.0,221.0,FR CAPODANNO BLVD,1
322.0,291.0,BAY ST,1
323.0,291.0,BAY ST,1
326.0,285.0,BAY ST,1
327.0,228.0,FR. CAPODANNO BLVD @ SAND LANE,1
328.0,246.0,MCCLEAN AV,1
331.0,276.0,BAY ST,1
334.0,240.0,FR CAPODANNO BLVD,1
334.0,270.0,BAY ST,1
372.0,297.0,SHORE RD,1
372.0,298.0,SHORE RD,1
379.0,277.0,SHORE RD,1
382.0,283.0,3 AV,1
385.0,294.0,3 AV,1
386.0,296.0,3 AV,1
388.0,302.0,3 AV,1
391.0,298.0,4 AV,1
392.0,316.0,3 AV,1
393.0,320.0,3 AV,1
394.0,287.0,92 ST,1
395.0,325.0,3 AV,1
395.0,330.0,BAY RIDGE AV,1
396.0,297.0,86 ST,1
396.0,329.0,3 AV,1
397.0,315.0,4 AV,1
399.0,270.0,POLY PL,1
399.0,294.0,86 ST,1
401.0,269.0,POLY PL,1
401.0,281.0,7 AV,1
401.0,283.0,92 ST,1
401.0,315.0,5 AV,1
401.0,315.0,BAY RIDGE PKWY,1
401.0,326.0,BAY RIDGE AV,1
402.0,292.0,86 ST,1
402.0,315.0,BAY RIDGE PKWY,1
402.0,316.0,5 AV,1
405.0,290.0,86 ST,1
406.0,352.0,2 AV,1
407.0,352.0,55 ST,1
409.0,286.0,86 ST,1
409.0,340.0,60 ST,1
411.0,307.0,BAY RIDGE PKWY,1
411.0,491.0,W THAMES ST,1
412.0,266.0,CROPSEY AV,1
412.0,307.0,BAY RIDGE PKWY,1
412.0,307.0,Ft Hamilton Pkwy,1
412.0,493.0,SOUTH END AV,1
413.0,337.0,60 ST,1
413.0,483.0,BATTERY PL,1
414.0,308.0,Ft Hamilton Pkwy,1
415.0,418.0,VAN DYKE ST,1
416.0,351.0,52 ST,1
416.0,511.0,NORTH END AV,1
417.0,274.0,14 AV,1
417.0,275.0,14 AV,1
417.0,280.0,86 ST,1
417.0,281.0,86 ST,1
417.0,320.0,8 AV,1
417.0,334.0,60 ST,1
418.0,416.0,VAN DYKE ST,1
419.0,278.0,86 ST,1
419.0,314.0,Ft Hamilton Pkwy,1
419.0,346.0,5 AV,1
419.0,422.0,VAN BRUNT ST,1
419.0,490.0,TRINITY PL,1
420.0,331.0,60 ST,1
420.0,414.0,DWIGHT ST,1
421.0,315.0,Ft Hamilton Pkwy,1
421.0,478.0,WATER ST,1
421.0,514.0,HARRISON ST,1
422.0,350.0,5 AV,1
422.0,425.0,VAN BRUNT ST,1
423.0,276.0,86 ST,1
423.0,329.0,60 ST,1
423.0,350.0,5 AV,1
423.0,545.0,WEST ST,1
424.0,274.0,86 St,1
424.0,328.0,60 St,1
424.0,352.0,5 AV,1
424.0,481.0,WATER ST,1
425.0,509.0,W BROADWAY,1
425.0,530.0,SPRING ST,1
425.0,546.0,W 10 ST,1
426.0,416.0,LORRAINE ST,1
426.0,431.0,VAN BRUNT ST,1
427.0,295.0,BAY RIDGE PKWY,1
427.0,506.0,CHURCH ST,1
427.0,534.0,KING ST,1
428.0,295.0,BAY RIDGE PKWY,1
428.0,484.0,WATER ST,1
429.0,258.0,18 AV,1
429.0,259.0,BATH AV,1
429.0,358.0,5 AV,1
429.0,434.0,VAN BRUNT ST,1
