type[com/res/mix],borough,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,# of bus_stop,# of subway_station,# of FELONY,# of VIOLATION,# of MISDEMEANOR,total # of poi,poi type 1,poi type 2,poi type 3,poi type 4,poi type 5,poi type 6,poi type 7,poi type 8,poi type 9,poi type 10,poi type 11,poi type 12,poi type 13,# of roads,total width of raods
0,1,6834,143730,2007,100107200,1,0,0,7,8,782,332,1340,95,8,7,52,9,7,6,5,0,0,0,308,10420
2,1,2562,42568,2007,42845395,12,13,1305,493,3154,123,14,5,60,18,13,5,3,1,2,2,0,0,0,297,10116
2,1,10622,160545,2007,109915000,1,0,0,7,8,2135,539,4417,84,4,9,56,9,0,1,0,4,0,0,303,10212
0,1,1050,3823,1910,3600000,21,5,2367,922,4787,143,17,22,25,28,2,2,29,2,8,0,4,4,0,320,11067
0,1,1218,3586,1899,3700000,22,0,1929,938,3831,186,33,27,23,30,7,8,23,3,17,4,7,4,0,254,8638
0,1,3372,5930,1920,9000000,26,6,2618,937,5199,143,21,20,22,28,2,3,24,3,13,1,2,4,0,316,10921
0,1,2003,13000,2007,15500000,21,6,2760,922,5480,154,20,15,18,36,5,3,30,4,12,3,4,4,0,286,9931
0,1,2214,39064,2009,30750000,24,8,2698,825,5443,125,15,19,23,22,2,1,24,5,9,0,1,4,0,327,11335
2,1,25010,150000,1900,116000000,19,8,2852,762,6032,132,15,15,30,29,4,1,16,5,9,2,1,5,0,319,10849
1,1,1220,5700,1910,9700000,6,9,2692,675,5859,118,11,9,55,19,2,2,10,2,3,2,0,3,0,304,10397
0,1,11362,33639,1922,55000000,7,11,2962,733,6332,122,13,12,47,19,2,1,12,2,7,2,1,4,0,305,10412
2,1,1011,1011,1900,4400000,11,11,2474,505,4912,101,5,9,61,11,1,3,1,5,1,1,3,0,0,318,11056
2,1,2286,72703,2014,12933334,11,6,2317,454,4368,94,5,6,57,9,1,3,1,6,2,1,3,0,0,317,10935
2,1,1100,3168,1920,12302140,14,11,3303,720,6444,138,12,17,44,25,3,1,12,4,11,3,3,3,0,325,11064
2,1,1350,5807,1900,9999999,11,8,2795,515,4946,156,6,15,80,19,2,4,9,7,4,5,4,1,0,306,10765
1,1,2002,3556,1899,12500000,12,7,2880,591,4888,161,6,16,84,20,2,4,7,7,5,5,4,1,0,320,11179
1,1,2150,4404,1900,21650000,12,4,2863,631,4162,169,11,20,83,21,2,3,12,3,5,3,5,1,0,304,10392
1,1,2138,8395,1900,20650000,12,4,2863,631,4162,169,11,20,83,21,2,3,12,3,5,3,5,1,0,304,10392
2,1,7742,54328,1900,32250000,15,6,3350,716,6080,189,30,45,38,35,4,4,13,0,11,4,5,0,0,291,10165
1,1,2583,5278,1900,26000000,9,9,3846,761,6792,175,25,37,51,25,1,4,10,0,13,3,6,0,0,284,9628
2,1,1088,3128,1899,4850000,10,9,3641,699,6414,165,25,32,48,25,1,4,10,0,12,2,6,0,0,298,10195
2,1,2085,4488,1899,11800000,8,11,3749,779,6514,169,21,23,67,22,2,4,11,0,12,2,5,0,0,307,10364
1,1,1586,6804,1841,7400000,0,1,0,17,4,2151,496,3217,109,7,10,65,9,2,2,4,6,1,2,324,11256
1,1,384,1152,1901,1375000,0,1,0,14,3,1964,467,2861,94,8,6,60,7,2,1,2,4,1,2,315,10826
1,1,384,1152,1901,1375000,0,1,0,14,3,1964,467,2861,94,8,6,60,7,2,1,2,4,1,2,315,10826
1,1,840,924,1899,4900000,0,1,0,17,4,2107,497,3150,109,8,9,66,9,2,2,4,5,1,2,324,11133
2,1,2686,2684,1954,15650000,12,4,1655,414,2430,80,8,5,47,7,2,1,2,4,1,2,0,1,0,294,10313
1,1,2065,3495,1899,15000000,9,8,3384,753,4536,100,8,11,45,13,1,2,9,1,5,0,4,1,0,320,10738
1,1,2000,3280,1901,7700000,8,9,3588,774,5638,111,13,11,45,18,1,4,9,0,6,0,4,0,0,302,10191
1,1,1584,3474,1900,14500000,10,6,2996,651,3808,106,7,14,61,4,1,1,6,2,6,1,2,1,0,340,11516
1,1,1364,3720,1899,8500000,10,7,3009,655,3856,88,7,7,56,3,1,1,3,2,4,0,3,1,0,335,11305
1,1,2391,4890,1905,27500000,0,1,0,11,5,2690,591,3420,95,7,9,61,4,1,1,3,2,5,1,332,11263
2,1,5126,14500,1900,34500000,1,0,0,10,7,2835,623,3608,86,7,7,56,4,1,1,3,2,4,0,332,11212
2,1,1935,7705,1950,14500000,0,1,0,6,1,939,262,1308,45,6,6,23,2,1,0,1,4,1,0,270,9369
2,1,3950,7900,2013,10750000,10,1,1011,297,1727,79,8,1,61,3,1,1,4,0,0,0,0,0,0,231,7888
0,1,79943,1809073,2013,119885511,9,1,957,269,1669,66,4,2,45,1,3,0,3,0,2,1,5,0,0,248,8731
2,1,9875,11250,1900,124700000,10,2,1488,391,2492,66,15,3,28,5,3,2,3,0,3,1,3,0,0,277,9600
2,1,7406,9000,1919,44000000,1,0,0,10,2,1204,371,1971,56,12,1,22,7,3,2,5,3,0,0,267,9280
1,1,1675,3909,1910,8818181,1,0,0,9,2,2107,491,2921,94,10,2,64,9,2,2,4,0,0,0,226,7483
1,1,2057,3360,1910,13000000,11,1,1362,434,2250,97,10,2,66,4,3,2,4,0,2,0,4,0,0,253,8649
2,1,2469,20344,1999,18500000,12,3,2934,605,5133,84,20,7,24,12,2,4,7,0,2,2,4,0,0,278,9605
2,1,3031,8355,1900,13750000,11,6,2934,693,3665,86,11,5,50,5,1,1,6,0,4,0,3,0,0,288,9540
2,1,7406,177000,2010,128177800,12,5,4758,1100,8545,142,26,20,15,24,3,6,20,3,7,4,14,0,0,306,10380
2,1,3757,74128,2006,112861038,12,5,4758,1100,8545,142,26,20,15,24,3,6,20,3,7,4,14,0,0,306,10380
2,1,4007,85706,2006,99275913,12,5,4758,1100,8545,142,26,20,15,24,3,6,20,3,7,4,14,0,0,306,10380
2,1,3497,71706,2006,90915836,12,5,4758,1100,8545,142,26,20,15,24,3,6,20,3,7,4,14,0,0,306,10380
1,1,1975,3540,1901,7425000,12,8,3308,835,4887,100,11,7,44,11,3,2,10,0,3,0,9,0,0,273,9192
2,1,1178,3398,1928,20000000,15,9,5807,967,11081,129,34,20,13,17,4,6,17,1,5,3,8,1,0,277,9324
2,1,4938,53696,2001,81320748,19,9,3542,864,4824,94,17,9,27,11,3,4,10,0,3,0,9,1,0,279,9476
2,1,12343,21183,1920,50350000,19,9,3542,864,4824,94,17,9,27,11,3,4,10,0,3,0,9,1,0,279,9476
0,1,9826,122236,2010,139725000,22,10,3971,902,6050,105,21,11,27,15,3,4,11,0,2,1,9,1,0,260,8814
2,1,4938,71500,2006,53764000,19,9,4813,917,9420,121,28,16,28,17,3,4,10,0,4,2,8,1,0,248,8304
2,1,4379,49286,2003,73910680,19,9,5207,983,9575,123,33,19,18,17,4,6,12,0,4,2,7,1,0,254,8472
0,1,4115,44876,2006,60000000,22,9,3580,829,4759,113,17,19,24,16,5,4,16,0,3,0,8,1,0,273,9236
0,1,3917,7450,1927,10000000,25,9,5264,914,9615,132,30,19,28,18,4,7,11,0,4,3,2,6,0,265,8955
0,1,7406,122859,2008,139657500,23,10,5052,810,9111,142,32,24,30,12,6,9,17,0,5,3,1,3,0,275,9247
0,1,6122,72052,2008,105000000,21,10,5437,907,10013,166,38,29,36,14,3,8,20,2,7,3,4,2,0,280,9447
0,1,1975,3790,1915,3160000,30,6,3468,787,4597,142,24,14,38,14,5,9,15,0,11,1,2,9,0,276,9447
0,1,2468,24809,1986,31925139,25,8,3083,603,4196,175,32,35,35,21,6,7,21,1,10,2,0,5,0,279,9417
1,1,495,1920,1910,2765000,29,5,2397,561,2995,164,22,26,38,23,4,6,17,1,12,6,1,8,0,281,9625
1,1,491,1824,1910,3100000,29,5,2397,561,2995,164,22,26,38,23,4,6,17,1,12,6,1,8,0,281,9625
1,1,495,2301,1910,2875000,29,5,2397,561,2995,164,22,26,38,23,4,6,17,1,12,6,1,8,0,281,9625
0,1,5366,6508,1920,18800000,22,7,3344,823,6350,155,28,36,22,28,4,5,4,1,12,3,7,5,0,280,9625
0,1,2683,5292,1960,14680000,28,4,1853,500,2363,186,28,26,44,24,5,7,14,1,11,8,8,9,1,266,9038
2,1,12050,67200,1969,101220000,17,12,5165,1412,8054,237,44,44,28,34,6,7,34,4,17,6,13,0,0,291,9854
2,1,1903,5783,1920,13010500,19,12,4814,1343,7249,235,42,46,30,33,7,7,30,4,17,6,13,0,0,289,9826
0,1,8400,21837,1929,81500000,23,8,2669,1061,4114,150,24,26,27,25,6,4,21,3,8,4,2,0,0,257,8541
2,1,10042,14000,1963,25000000,19,2,2269,1123,3781,121,21,20,9,24,5,3,20,2,10,1,5,1,0,275,9110
0,1,8786,48341,1920,67170000,23,6,2501,1242,4113,128,21,18,13,28,5,3,18,2,11,3,5,1,0,263,8660
1,1,1992,6383,1900,12500000,23,4,1120,533,2338,138,25,27,35,18,4,5,8,0,3,4,7,1,1,224,7898
0,1,5108,38436,1920,26800000,33,3,1267,579,2775,123,21,24,25,18,2,3,16,0,4,4,5,1,0,240,8665
1,1,2008,4932,1900,7075000,32,2,1237,630,2688,139,20,26,35,21,2,1,16,0,7,3,6,2,0,258,9197
0,1,7824,81560,1926,69420000,29,2,1155,508,2313,105,24,21,13,12,1,3,15,3,4,4,3,2,0,225,8010
0,1,6480,36505,1900,27625000,31,2,982,430,2198,91,9,19,23,12,1,1,10,0,5,4,5,2,0,210,7509
0,1,5050,29267,1920,27625000,31,2,982,430,2198,91,9,19,23,12,1,1,10,0,5,4,5,2,0,210,7509
0,1,13825,184060,1923,145000000,26,2,916,401,1862,82,18,13,11,12,0,1,13,0,4,4,3,3,0,215,7556
1,1,1865,4176,1901,9995000,26,4,1142,532,2166,121,27,17,19,15,8,6,16,4,2,1,4,2,0,237,8547
0,1,5849,30702,1900,22500000,30,3,1306,610,2643,122,30,20,25,13,5,6,8,4,3,1,5,2,0,224,8027
1,1,1547,3640,1900,9400000,31,4,1358,669,2627,133,29,24,21,16,8,6,16,4,3,1,3,2,0,227,8082
1,1,1762,6936,1910,6995000,29,2,1367,665,2255,138,27,25,19,20,8,8,16,4,2,2,7,0,0,280,9714
