grid_x,grid_y,type,counts
10.0,44.0,MISDEMEANOR,1
11.0,44.0,VIOLATION,1
11.0,46.0,FELONY,1
12.0,43.0,MISDEMEANOR,1
13.0,33.0,FELONY,1
13.0,33.0,MISDEMEANOR,1
13.0,40.0,FELONY,1
13.0,40.0,MISDEMEANOR,1
13.0,43.0,MISDEMEANOR,1
13.0,44.0,FELONY,1
13.0,46.0,VIOLATION,1
14.0,36.0,MISDEMEANOR,1
14.0,44.0,FELONY,1
14.0,52.0,FELONY,2
14.0,52.0,MISDEMEANOR,2
14.0,54.0,FELONY,1
15.0,33.0,FELONY,1
15.0,33.0,MISDEMEANOR,4
15.0,40.0,FELONY,1
15.0,40.0,VIOLATION,1
15.0,41.0,MISDEMEANOR,1
15.0,43.0,MISDEMEANOR,1
15.0,44.0,MISDEMEANOR,1
15.0,53.0,FELONY,3
15.0,53.0,MISDEMEANOR,4
15.0,53.0,VIOLATION,1
16.0,33.0,FELONY,2
16.0,41.0,MISDEMEANOR,1
16.0,43.0,FELONY,1
16.0,43.0,VIOLATION,1
16.0,54.0,MISDEMEANOR,1
16.0,54.0,VIOLATION,1
16.0,58.0,MISDEMEANOR,2
16.0,58.0,VIOLATION,1
17.0,37.0,FELONY,1
17.0,37.0,MISDEMEANOR,1
17.0,42.0,FELONY,1
17.0,44.0,MISDEMEANOR,1
17.0,45.0,FELONY,1
17.0,45.0,MISDEMEANOR,1
17.0,48.0,FELONY,1
17.0,50.0,FELONY,1
17.0,50.0,MISDEMEANOR,2
17.0,50.0,VIOLATION,2
17.0,54.0,FELONY,1
17.0,54.0,MISDEMEANOR,2
17.0,54.0,VIOLATION,1
17.0,56.0,FELONY,1
17.0,56.0,MISDEMEANOR,1
17.0,57.0,MISDEMEANOR,2
18.0,37.0,FELONY,3
18.0,40.0,FELONY,1
18.0,40.0,MISDEMEANOR,1
18.0,45.0,MISDEMEANOR,1
18.0,51.0,FELONY,1
18.0,51.0,VIOLATION,1
18.0,55.0,FELONY,3
18.0,55.0,MISDEMEANOR,2
18.0,55.0,VIOLATION,1
18.0,56.0,MISDEMEANOR,2
18.0,56.0,VIOLATION,3
18.0,57.0,FELONY,1
18.0,57.0,MISDEMEANOR,4
18.0,57.0,VIOLATION,4
19.0,47.0,FELONY,2
19.0,47.0,MISDEMEANOR,5
19.0,50.0,MISDEMEANOR,1
19.0,54.0,FELONY,2
19.0,54.0,MISDEMEANOR,11
19.0,54.0,VIOLATION,2
19.0,55.0,VIOLATION,1
19.0,57.0,MISDEMEANOR,1
19.0,57.0,VIOLATION,1
20.0,32.0,MISDEMEANOR,8
20.0,37.0,VIOLATION,4
20.0,43.0,VIOLATION,1
20.0,46.0,MISDEMEANOR,2
20.0,50.0,VIOLATION,3
20.0,53.0,FELONY,26
20.0,53.0,MISDEMEANOR,68
20.0,53.0,VIOLATION,27
20.0,56.0,MISDEMEANOR,1
21.0,32.0,VIOLATION,1
21.0,38.0,MISDEMEANOR,1
21.0,38.0,VIOLATION,1
21.0,48.0,MISDEMEANOR,1
21.0,48.0,VIOLATION,2
21.0,49.0,FELONY,1
21.0,49.0,MISDEMEANOR,5
21.0,49.0,VIOLATION,4
21.0,51.0,FELONY,2
21.0,51.0,MISDEMEANOR,4
21.0,51.0,VIOLATION,1
21.0,55.0,MISDEMEANOR,3
21.0,56.0,VIOLATION,1
21.0,59.0,MISDEMEANOR,1
21.0,60.0,FELONY,6
21.0,60.0,MISDEMEANOR,11
21.0,60.0,VIOLATION,1
22.0,47.0,FELONY,1
22.0,47.0,MISDEMEANOR,1
22.0,47.0,VIOLATION,1
22.0,50.0,FELONY,1
22.0,50.0,MISDEMEANOR,2
22.0,54.0,FELONY,3
22.0,54.0,MISDEMEANOR,4
22.0,54.0,VIOLATION,2
22.0,57.0,FELONY,3
22.0,57.0,MISDEMEANOR,5
23.0,32.0,MISDEMEANOR,4
23.0,32.0,VIOLATION,2
23.0,38.0,MISDEMEANOR,3
23.0,38.0,VIOLATION,1
23.0,44.0,MISDEMEANOR,1
23.0,44.0,VIOLATION,1
23.0,48.0,MISDEMEANOR,2
23.0,48.0,VIOLATION,2
23.0,49.0,FELONY,1
23.0,52.0,MISDEMEANOR,1
23.0,58.0,MISDEMEANOR,3
24.0,36.0,FELONY,1
24.0,36.0,MISDEMEANOR,1
24.0,39.0,FELONY,1
24.0,45.0,FELONY,1
24.0,45.0,MISDEMEANOR,5
24.0,45.0,VIOLATION,1
24.0,47.0,MISDEMEANOR,1
24.0,47.0,VIOLATION,1
24.0,48.0,MISDEMEANOR,1
24.0,48.0,VIOLATION,1
24.0,59.0,MISDEMEANOR,1
24.0,60.0,MISDEMEANOR,3
24.0,60.0,VIOLATION,2
25.0,30.0,VIOLATION,1
25.0,50.0,FELONY,1
25.0,50.0,MISDEMEANOR,1
25.0,53.0,MISDEMEANOR,1
25.0,56.0,MISDEMEANOR,4
25.0,59.0,MISDEMEANOR,1
26.0,31.0,MISDEMEANOR,1
26.0,33.0,FELONY,1
26.0,33.0,MISDEMEANOR,3
26.0,36.0,FELONY,1
26.0,39.0,MISDEMEANOR,7
26.0,39.0,VIOLATION,1
26.0,45.0,MISDEMEANOR,2
26.0,48.0,FELONY,1
