borough BX,borough BK,borough MN,borough QN ,borough SI,block,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,commercial,residencial,mixed,grid_x,grid_y
1.0,0.0,0.0,0.0,0.0,10,6834,143730,2007,100107200,1,0,0,418,480
1.0,0.0,0.0,0.0,0.0,10,6834,143730,2007,100107200,1,0,0,418,480
1.0,0.0,0.0,0.0,0.0,10,6834,143730,2007,100107200,1,0,0,418,480
1.0,0.0,0.0,0.0,0.0,10,6834,143730,2007,100107200,1,0,0,418,480
1.0,0.0,0.0,0.0,0.0,39,2562,42568,2007,42845395,1,0,0,427,485
1.0,0.0,0.0,0.0,0.0,39,2562,42568,2007,42845395,1,0,0,427,485
1.0,0.0,0.0,0.0,0.0,39,2562,42568,2007,42845395,1,0,0,427,485
1.0,0.0,0.0,0.0,0.0,39,2562,42568,2007,42845395,1,0,0,427,485
1.0,0.0,0.0,0.0,0.0,211,10622,160545,2007,109915000,1,0,0,432,518
1.0,0.0,0.0,0.0,0.0,211,10622,160545,2007,109915000,1,0,0,432,518
1.0,0.0,0.0,0.0,0.0,211,10622,160545,2007,109915000,1,0,0,432,518
1.0,0.0,0.0,0.0,0.0,211,10622,160545,2007,109915000,1,0,0,432,518
1.0,0.0,0.0,0.0,0.0,310,1050,3823,1910,3600000,1,0,0,457,508
1.0,0.0,0.0,0.0,0.0,310,1050,3823,1910,3600000,1,0,0,457,508
1.0,0.0,0.0,0.0,0.0,310,1050,3823,1910,3600000,1,0,0,457,508
1.0,0.0,0.0,0.0,0.0,310,1050,3823,1910,3600000,1,0,0,457,508
1.0,0.0,0.0,0.0,0.0,390,1218,3586,1899,3700000,1,0,0,475,527
1.0,0.0,0.0,0.0,0.0,390,1218,3586,1899,3700000,1,0,0,475,527
1.0,0.0,0.0,0.0,0.0,390,1218,3586,1899,3700000,1,0,0,475,527
1.0,0.0,0.0,0.0,0.0,390,1218,3586,1899,3700000,1,0,0,475,527
1.0,0.0,0.0,0.0,0.0,409,3372,5930,1920,9000000,1,0,0,459,513
1.0,0.0,0.0,0.0,0.0,409,3372,5930,1920,9000000,1,0,0,459,513
1.0,0.0,0.0,0.0,0.0,409,3372,5930,1920,9000000,1,0,0,459,513
1.0,0.0,0.0,0.0,0.0,409,3372,5930,1920,9000000,1,0,0,459,513
1.0,0.0,0.0,0.0,0.0,411,2003,13000,2007,15500000,1,0,0,461,519
1.0,0.0,0.0,0.0,0.0,411,2003,13000,2007,15500000,1,0,0,461,519
1.0,0.0,0.0,0.0,0.0,411,2003,13000,2007,15500000,1,0,0,461,519
1.0,0.0,0.0,0.0,0.0,411,2003,13000,2007,15500000,1,0,0,461,519
1.0,0.0,0.0,0.0,0.0,415,2214,39064,2009,30750000,1,0,0,456,515
1.0,0.0,0.0,0.0,0.0,415,2214,39064,2009,30750000,1,0,0,456,515
1.0,0.0,0.0,0.0,0.0,415,2214,39064,2009,30750000,1,0,0,456,515
1.0,0.0,0.0,0.0,0.0,415,2214,39064,2009,30750000,1,0,0,456,515
1.0,0.0,0.0,0.0,0.0,420,25010,150000,1900,116000000,1,0,0,454,517
1.0,0.0,0.0,0.0,0.0,420,25010,150000,1900,116000000,1,0,0,454,517
1.0,0.0,0.0,0.0,0.0,420,25010,150000,1900,116000000,1,0,0,454,517
1.0,0.0,0.0,0.0,0.0,420,25010,150000,1900,116000000,1,0,0,454,517
1.0,0.0,0.0,0.0,0.0,471,1220,5700,1910,9700000,0,1,0,444,517
1.0,0.0,0.0,0.0,0.0,471,1220,5700,1910,9700000,0,1,0,444,517
1.0,0.0,0.0,0.0,0.0,471,1220,5700,1910,9700000,0,1,0,444,517
1.0,0.0,0.0,0.0,0.0,471,1220,5700,1910,9700000,0,1,0,444,517
1.0,0.0,0.0,0.0,0.0,480,11362,33639,1922,55000000,1,0,0,446,519
1.0,0.0,0.0,0.0,0.0,480,11362,33639,1922,55000000,1,0,0,446,519
1.0,0.0,0.0,0.0,0.0,480,11362,33639,1922,55000000,1,0,0,446,519
1.0,0.0,0.0,0.0,0.0,480,11362,33639,1922,55000000,1,0,0,446,519
1.0,0.0,0.0,0.0,0.0,488,1011,1011,1900,4400000,1,0,0,436,526
1.0,0.0,0.0,0.0,0.0,488,1011,1011,1900,4400000,1,0,0,436,526
1.0,0.0,0.0,0.0,0.0,488,1011,1011,1900,4400000,1,0,0,436,526
1.0,0.0,0.0,0.0,0.0,488,1011,1011,1900,4400000,1,0,0,436,526
1.0,0.0,0.0,0.0,0.0,490,2286,72703,2014,12933334,0,0,1,434,528
1.0,0.0,0.0,0.0,0.0,490,2286,72703,2014,12933334,0,0,1,434,528
1.0,0.0,0.0,0.0,0.0,490,2286,72703,2014,12933334,0,0,1,434,528
1.0,0.0,0.0,0.0,0.0,490,2286,72703,2014,12933334,0,0,1,434,528
