,actual,predicted,,,% accurate,,,,,
0,0,0,TRUE,22046,47.95945005,,,Predicted Label,,
1,0,0,TRUE,,,Actual Label,,-1,0,1
2,0,0,TRUE,,,,-1,3,446,108
3,0,0,TRUE,,,,0,5,1802,369
4,0,0,TRUE,,,,1,6,1251,249
5,0,0,TRUE,,,,,,,
6,0,0,TRUE,,,,,,,
7,1,0,FALSE,,,,,,,
8,1,0,FALSE,,,,,,,
9,0,0,TRUE,,,,,,,
10,0,1,FALSE,,,,,,,
11,-1,1,FALSE,,,,,,,
12,1,0,FALSE,,,,,,,
13,0,0,TRUE,,,,,,,
14,1,0,FALSE,,,,,,,
15,-1,0,FALSE,,,,,,,
16,0,0,TRUE,,,,,,,
17,0,0,TRUE,,,,,,,
18,1,0,FALSE,,,,,,,
19,0,1,FALSE,,,,,,,
20,1,0,FALSE,,,,,,,
21,0,0,TRUE,,,,,,,
22,0,0,TRUE,,,,,,,
23,1,0,FALSE,,,,,,,
24,0,1,FALSE,,,,,,,
25,0,0,TRUE,,,,,,,
26,1,0,FALSE,,,,,,,
27,0,0,TRUE,,,,,,,
28,0,0,TRUE,,,,,,,
29,-1,0,FALSE,,,,,,,
30,1,0,FALSE,,,,,,,
31,0,0,TRUE,,,,,,,
32,1,0,FALSE,,,,,,,
33,0,0,TRUE,,,,,,,
34,0,0,TRUE,,,,,,,
35,1,0,FALSE,,,,,,,
36,1,1,TRUE,,,,,,,
37,1,0,FALSE,,,,,,,
38,1,0,FALSE,,,,,,,
39,-1,0,FALSE,,,,,,,
40,0,0,TRUE,,,,,,,
41,1,0,FALSE,,,,,,,
42,0,1,FALSE,,,,,,,
43,0,0,TRUE,,,,,,,
44,1,1,TRUE,,,,,,,
45,-1,0,FALSE,,,,,,,
46,1,0,FALSE,,,,,,,
47,1,0,FALSE,,,,,,,
48,1,0,FALSE,,,,,,,
49,0,0,TRUE,,,,,,,
50,0,1,FALSE,,,,,,,
51,0,0,TRUE,,,,,,,
52,0,0,TRUE,,,,,,,
53,0,0,TRUE,,,,,,,
54,0,0,TRUE,,,,,,,
55,0,0,TRUE,,,,,,,
56,-1,0,FALSE,,,,,,,
57,0,0,TRUE,,,,,,,
58,0,0,TRUE,,,,,,,
59,1,0,FALSE,,,,,,,
60,-1,0,FALSE,,,,,,,
61,-1,0,FALSE,,,,,,,
62,1,1,TRUE,,,,,,,
63,1,0,FALSE,,,,,,,
64,1,1,TRUE,,,,,,,
65,1,0,FALSE,,,,,,,
66,1,0,FALSE,,,,,,,
67,0,0,TRUE,,,,,,,
68,1,0,FALSE,,,,,,,
69,0,0,TRUE,,,,,,,
70,0,0,TRUE,,,,,,,
71,0,1,FALSE,,,,,,,
72,0,0,TRUE,,,,,,,
73,0,0,TRUE,,,,,,,
74,0,0,TRUE,,,,,,,
75,1,0,FALSE,,,,,,,
76,1,0,FALSE,,,,,,,
77,1,0,FALSE,,,,,,,
78,0,0,TRUE,,,,,,,
79,0,0,TRUE,,,,,,,
80,1,0,FALSE,,,,,,,
81,-1,0,FALSE,,,,,,,
82,1,0,FALSE,,,,,,,
83,0,0,TRUE,,,,,,,
84,-1,0,FALSE,,,,,,,
85,-1,0,FALSE,,,,,,,
86,0,0,TRUE,,,,,,,
87,0,0,TRUE,,,,,,,
88,-1,0,FALSE,,,,,,,
89,1,0,FALSE,,,,,,,
90,0,0,TRUE,,,,,,,
91,0,0,TRUE,,,,,,,
92,1,0,FALSE,,,,,,,
93,0,0,TRUE,,,,,,,
94,0,0,TRUE,,,,,,,
95,0,1,FALSE,,,,,,,
96,0,0,TRUE,,,,,,,
97,0,0,TRUE,,,,,,,
98,1,0,FALSE,,,,,,,
99,1,0,FALSE,,,,,,,
100,1,1,TRUE,,,,,,,
101,1,0,FALSE,,,,,,,
102,1,0,FALSE,,,,,,,
103,0,0,TRUE,,,,,,,
104,0,0,TRUE,,,,,,,
105,1,0,FALSE,,,,,,,
106,0,0,TRUE,,,,,,,
107,-1,0,FALSE,,,,,,,
108,-1,0,FALSE,,,,,,,
109,0,0,TRUE,,,,,,,
110,0,0,TRUE,,,,,,,
111,0,0,TRUE,,,,,,,
112,1,0,FALSE,,,,,,,
