Southeast,Actual,Predicted,,# true predictions,% accurate
0,1,0,FALSE,26899,51.61172723
1,1,0,FALSE,,
2,0,0,TRUE,,
3,0,0,TRUE,,
4,-1,0,FALSE,,
5,1,0,FALSE,,
6,0,0,TRUE,,
7,0,0,TRUE,,
8,0,0,TRUE,,
9,0,0,TRUE,,
10,0,0,TRUE,,
11,0,0,TRUE,,
12,-1,0,FALSE,,
13,0,0,TRUE,,
14,0,0,TRUE,,
15,1,0,FALSE,,
16,-1,0,FALSE,,
17,1,0,FALSE,,
18,0,0,TRUE,,
19,0,0,TRUE,,
20,1,0,FALSE,,
21,-1,0,FALSE,,
22,0,0,TRUE,,
23,0,0,TRUE,,
24,0,1,FALSE,,
25,0,1,FALSE,,
26,1,0,FALSE,,
27,1,0,FALSE,,
28,0,0,TRUE,,
29,1,0,FALSE,,
30,0,0,TRUE,,
31,1,0,FALSE,,
32,0,0,FALSE,,
33,1,0,TRUE,,
34,0,0,TRUE,,
35,-1,1,FALSE,,
36,1,0,FALSE,,
37,0,0,TRUE,,
38,1,0,TRUE,,
39,1,0,TRUE,,
40,1,0,TRUE,,
41,1,0,TRUE,,
42,0,0,TRUE,,
43,0,0,FALSE,,
44,0,0,TRUE,,
45,0,0,TRUE,,
46,0,0,FALSE,,
47,1,0,FALSE,,
48,0,0,FALSE,,
49,0,0,TRUE,,
50,1,0,TRUE,,
51,-1,0,FALSE,,
52,0,0,FALSE,,
53,0,1,TRUE,,
54,0,0,TRUE,,
55,0,0,FALSE,,
56,1,0,FALSE,,
57,0,0,FALSE,,
58,1,0,FALSE,,
59,-1,0,TRUE,,
60,1,0,FALSE,,
61,0,0,TRUE,,
62,0,0,FALSE,,
63,1,0,FALSE,,
64,0,0,TRUE,,
65,0,0,TRUE,,
66,0,0,FALSE,,
67,-1,0,FALSE,,
68,0,0,TRUE,,
69,0,0,TRUE,,
70,0,0,TRUE,,
71,1,0,TRUE,,
72,0,0,TRUE,,
73,1,0,TRUE,,
74,0,0,FALSE,,
75,0,0,TRUE,,
76,-1,0,TRUE,,
77,1,0,FALSE,,
78,1,0,FALSE,,
79,0,0,FALSE,,
80,-1,0,TRUE,,
81,0,0,TRUE,,
82,0,0,FALSE,,
83,1,0,FALSE,,
84,0,0,TRUE,,
85,0,0,TRUE,,
86,1,0,FALSE,,
87,1,0,FALSE,,
88,1,0,FALSE,,
89,0,0,FALSE,,
90,0,0,TRUE,,
91,1,1,FALSE,,
92,0,0,TRUE,,
93,0,0,FALSE,,
94,1,0,FALSE,,
95,1,0,TRUE,,
96,1,0,TRUE,,
97,0,0,FALSE,,
98,1,0,FALSE,,
99,0,0,TRUE,,
100,1,0,TRUE,,
101,-1,0,TRUE,,
102,0,0,TRUE,,
103,1,0,TRUE,,
104,0,0,TRUE,,
105,0,0,FALSE,,
106,0,0,TRUE,,
107,0,0,TRUE,,
108,0,0,FALSE,,
109,1,0,FALSE,,
110,0,0,FALSE,,
111,1,0,TRUE,,
112,0,0,TRUE,,
113,1,0,FALSE,,
114,0,0,FALSE,,
115,1,0,TRUE,,
116,1,0,TRUE,,
117,1,0,FALSE,,
118,-1,0,FALSE,,
119,0,0,FALSE,,
120,0,0,FALSE,,
121,1,0,TRUE,,
122,0,0,FALSE,,
123,0,0,TRUE,,
124,0,0,FALSE,,
125,0,0,FALSE,,
126,-1,0,TRUE,,
127,0,0,TRUE,,
128,1,0,FALSE,,
129,0,0,FALSE,,
130,1,0,TRUE,,
131,1,0,TRUE,,
132,0,0,TRUE,,
133,0,0,TRUE,,
134,1,0,TRUE,,
135,0,0,TRUE,,
136,0,0,FALSE,,
137,1,0,TRUE,,
138,0,0,TRUE,,
139,-1,0,FALSE,,
140,0,0,FALSE,,
141,0,0,FALSE,,
142,0,0,TRUE,,
143,1,0,TRUE,,
144,1,0,FALSE,,
145,1,0,FALSE,,
146,-1,0,TRUE,,
147,-1,0,TRUE,,
148,0,0,FALSE,,
149,0,0,FALSE,,
150,1,0,FALSE,,
151,0,0,FALSE,,
152,1,0,TRUE,,
153,0,0,FALSE,,
154,1,0,TRUE,,
155,0,0,FALSE,,
156,0,0,FALSE,,
157,1,0,TRUE,,
158,0,0,TRUE,,
159,-1,0,FALSE,,
160,0,0,FALSE,,
161,1,0,TRUE,,
162,0,0,TRUE,,
163,1,0,TRUE,,
164,0,0,TRUE,,
165,0,1,TRUE,,
166,0,0,TRUE,,
167,1,0,FALSE,,
168,0,0,TRUE,,
169,-1,0,TRUE,,
