,actual,predicted,,num right,% accuracy
0,-1,0,FALSE,23163,49.73055371
1,1,0,FALSE,,
2,-1,0,FALSE,,
3,-1,0,FALSE,,
4,0,0,TRUE,,
5,0,0,TRUE,,
6,0,0,TRUE,,
7,0,0,TRUE,,
8,1,0,FALSE,,
9,1,0,FALSE,,
10,1,0,FALSE,,
11,0,1,FALSE,,
12,0,0,TRUE,,
13,0,0,TRUE,,
14,0,0,TRUE,,
15,0,0,TRUE,,
16,1,0,FALSE,,
17,0,0,TRUE,,
18,-1,0,FALSE,,
19,0,0,TRUE,,
20,0,0,TRUE,,
21,1,0,FALSE,,
22,0,0,TRUE,,
23,0,0,TRUE,,
24,0,0,TRUE,,
25,1,0,FALSE,,
26,1,0,FALSE,,
27,1,0,FALSE,,
28,0,1,FALSE,,
29,0,0,TRUE,,
30,1,0,FALSE,,
31,0,0,TRUE,,
32,1,0,FALSE,,
33,0,1,FALSE,,
34,1,0,FALSE,,
35,0,0,TRUE,,
36,-1,0,FALSE,,
37,1,0,FALSE,,
38,0,0,TRUE,,
39,0,0,TRUE,,
40,0,0,TRUE,,
41,0,1,FALSE,,
42,0,0,TRUE,,
43,0,0,TRUE,,
44,0,0,TRUE,,
45,1,1,TRUE,,
46,1,0,FALSE,,
47,1,0,FALSE,,
48,0,0,TRUE,,
49,-1,0,FALSE,,
50,0,1,FALSE,,
51,0,0,TRUE,,
52,1,0,FALSE,,
53,1,0,FALSE,,
54,1,0,FALSE,,
55,0,0,TRUE,,
56,0,0,TRUE,,
57,0,1,FALSE,,
58,0,0,TRUE,,
59,1,0,FALSE,,
60,0,0,TRUE,,
61,0,0,TRUE,,
62,-1,0,FALSE,,
63,0,0,TRUE,,
64,0,0,TRUE,,
65,1,0,FALSE,,
66,1,0,FALSE,,
67,0,0,TRUE,,
68,-1,0,FALSE,,
69,0,0,TRUE,,
70,0,0,TRUE,,
71,0,-1,FALSE,,
72,0,0,TRUE,,
73,0,0,TRUE,,
74,-1,0,FALSE,,
75,1,0,FALSE,,
76,0,0,TRUE,,
77,1,1,TRUE,,
78,0,0,TRUE,,
79,0,1,FALSE,,
80,1,0,FALSE,,
81,0,1,FALSE,,
82,-1,0,FALSE,,
83,0,0,TRUE,,
84,1,1,TRUE,,
85,1,1,TRUE,,
86,0,1,FALSE,,
87,1,1,TRUE,,
88,1,0,FALSE,,
89,1,0,FALSE,,
90,0,0,TRUE,,
91,1,0,FALSE,,
92,1,0,FALSE,,
93,0,0,TRUE,,
94,0,0,TRUE,,
95,1,0,FALSE,,
96,1,0,FALSE,,
97,0,0,TRUE,,
98,1,1,TRUE,,
99,1,0,FALSE,,
100,0,0,TRUE,,
101,-1,0,FALSE,,
102,0,0,TRUE,,
103,0,0,TRUE,,
104,0,0,TRUE,,
105,-1,0,FALSE,,
106,0,0,TRUE,,
107,1,0,FALSE,,
108,0,0,TRUE,,
109,0,0,TRUE,,
110,0,0,TRUE,,
111,0,0,TRUE,,
112,0,0,TRUE,,
113,-1,1,FALSE,,
114,0,0,TRUE,,
115,1,0,FALSE,,
116,1,1,TRUE,,
117,1,1,TRUE,,
118,1,0,FALSE,,
119,0,0,TRUE,,
120,0,0,TRUE,,
121,0,0,TRUE,,
122,-1,0,FALSE,,
123,1,0,FALSE,,
124,0,0,TRUE,,
125,0,0,TRUE,,
126,0,0,TRUE,,
127,0,0,TRUE,,
128,0,0,TRUE,,
129,0,0,TRUE,,
130,1,0,FALSE,,
131,1,0,FALSE,,
132,1,0,FALSE,,
133,1,0,FALSE,,
134,0,0,TRUE,,
135,1,0,FALSE,,
136,0,0,TRUE,,
137,0,0,TRUE,,
138,0,0,TRUE,,
139,0,0,TRUE,,
140,0,0,TRUE,,
141,1,0,FALSE,,
142,1,0,FALSE,,
143,0,0,TRUE,,
144,0,0,TRUE,,
145,0,0,TRUE,,
146,0,1,FALSE,,
147,1,0,FALSE,,
148,1,0,FALSE,,
149,1,0,FALSE,,
150,0,0,TRUE,,
151,0,0,TRUE,,
152,1,1,TRUE,,
153,0,0,TRUE,,
154,-1,0,FALSE,,
155,1,1,TRUE,,
156,0,0,TRUE,,
157,1,0,FALSE,,
158,-1,0,FALSE,,
159,0,1,FALSE,,
160,1,0,FALSE,,
161,0,1,FALSE,,
162,0,0,TRUE,,
163,1,0,FALSE,,
164,0,0,TRUE,,
165,-1,0,FALSE,,
166,1,1,TRUE,,
167,0,0,TRUE,,
168,0,0,TRUE,,
169,0,0,TRUE,,
170,0,0,TRUE,,
171,1,0,FALSE,,
172,0,0,TRUE,,
173,-1,0,FALSE,,
174,1,0,FALSE,,
175,1,0,FALSE,,
176,-1,0,FALSE,,
177,0,1,FALSE,,
178,1,0,FALSE,,
179,-1,0,FALSE,,
180,1,1,TRUE,,
181,-1,0,FALSE,,
182,-1,0,FALSE,,
183,1,0,FALSE,,
184,0,0,TRUE,,
185,-1,1,FALSE,,
186,1,0,FALSE,,
187,0,0,TRUE,,
188,1,0,FALSE,,
189,1,1,TRUE,,
190,0,0,TRUE,,
191,0,0,TRUE,,
192,1,0,FALSE,,
193,1,0,FALSE,,
194,1,0,FALSE,,
195,0,0,TRUE,,
196,0,0,TRUE,,
197,0,0,TRUE,,
198,1,0,FALSE,,
199,0,0,TRUE,,
200,1,0,FALSE,,
201,1,1,TRUE,,
202,1,0,FALSE,,
203,0,1,FALSE,,
204,0,1,FALSE,,
205,1,0,FALSE,,
206,1,0,FALSE,,
207,1,0,FALSE,,
208,1,0,FALSE,,
209,0,0,TRUE,,
210,1,0,FALSE,,
211,-1,0,FALSE,,
212,0,0,TRUE,,
213,0,0,TRUE,,
214,0,0,TRUE,,
215,0,0,TRUE,,
216,-1,0,FALSE,,
217,0,0,TRUE,,
218,0,0,TRUE,,
219,0,0,TRUE,,
220,1,0,FALSE,,
221,0,0,TRUE,,
222,-1,0,FALSE,,
223,1,0,FALSE,,
224,0,0,TRUE,,
225,1,0,FALSE,,
226,0,0,TRUE,,
227,0,0,TRUE,,
228,0,0,TRUE,,
229,1,0,FALSE,,
230,-1,0,FALSE,,
231,0,0,TRUE,,
232,1,0,FALSE,,
233,0,0,TRUE,,
234,1,0,FALSE,,
235,-1,0,FALSE,,
236,0,0,TRUE,,
237,0,1,FALSE,,
238,0,1,FALSE,,
239,0,0,TRUE,,
240,-1,0,FALSE,,
241,-1,0,FALSE,,
242,0,0,TRUE,,
243,0,0,TRUE,,
244,0,0,TRUE,,
245,0,1,FALSE,,
246,0,0,TRUE,,
247,0,0,TRUE,,
248,-1,0,FALSE,,
249,0,0,TRUE,,
250,0,0,TRUE,,
251,-1,1,FALSE,,
252,0,0,TRUE,,
253,0,1,FALSE,,
254,1,0,FALSE,,
255,1,0,FALSE,,
256,1,0,FALSE,,
257,1,0,FALSE,,
258,-1,0,FALSE,,
259,1,0,FALSE,,
260,1,0,FALSE,,
261,0,0,TRUE,,
262,0,0,TRUE,,
263,-1,0,FALSE,,
264,0,0,TRUE,,
265,0,0,TRUE,,
266,0,0,TRUE,,
267,1,0,FALSE,,
268,0,0,TRUE,,
269,1,0,FALSE,,
270,0,1,FALSE,,
271,-1,0,FALSE,,
272,1,0,FALSE,,
273,-1,0,FALSE,,
274,1,1,TRUE,,
275,0,0,TRUE,,
276,1,1,TRUE,,
277,0,0,TRUE,,
278,0,0,TRUE,,
279,-1,0,FALSE,,
280,0,0,TRUE,,
281,0,0,TRUE,,
282,1,0,FALSE,,
283,1,0,FALSE,,
284,0,0,TRUE,,
285,1,0,FALSE,,
286,1,0,FALSE,,
287,0,0,TRUE,,
288,0,1,FALSE,,
289,0,0,TRUE,,
290,-1,0,FALSE,,
291,0,0,TRUE,,
292,0,0,TRUE,,
293,-1,0,FALSE,,
294,-1,0,FALSE,,
295,0,1,FALSE,,
296,-1,0,FALSE,,
297,-1,1,FALSE,,
298,-1,0,FALSE,,
299,1,0,FALSE,,
300,1,0,FALSE,,
301,0,0,TRUE,,
302,0,0,TRUE,,
303,0,0,TRUE,,
304,0,0,TRUE,,
305,0,0,TRUE,,
306,0,0,TRUE,,
307,-1,0,FALSE,,
308,0,0,TRUE,,
309,1,0,FALSE,,
310,0,0,TRUE,,
311,0,1,FALSE,,
312,0,0,TRUE,,
313,0,0,TRUE,,
314,0,0,TRUE,,
315,1,1,TRUE,,
316,0,0,TRUE,,
317,1,0,FALSE,,
318,1,0,FALSE,,
319,0,0,TRUE,,
320,0,0,TRUE,,
321,1,0,FALSE,,
322,-1,0,FALSE,,
323,-1,1,FALSE,,
324,1,0,FALSE,,
325,1,0,FALSE,,
326,0,0,TRUE,,
327,0,0,TRUE,,
328,0,0,TRUE,,
329,1,0,FALSE,,
330,0,0,TRUE,,
331,1,0,FALSE,,
332,-1,0,FALSE,,
333,0,0,TRUE,,
334,0,0,TRUE,,
335,-1,0,FALSE,,
336,1,0,FALSE,,
337,0,0,TRUE,,
338,0,0,TRUE,,
339,0,0,TRUE,,
340,1,0,FALSE,,
341,0,0,TRUE,,
342,0,0,TRUE,,
343,1,0,FALSE,,
344,0,0,TRUE,,
345,0,1,FALSE,,
346,0,0,TRUE,,
347,1,0,FALSE,,
348,0,0,TRUE,,
349,1,1,TRUE,,
350,1,0,FALSE,,
351,0,0,TRUE,,
352,0,0,TRUE,,
353,1,0,FALSE,,
354,0,0,TRUE,,
355,1,0,FALSE,,
356,1,0,FALSE,,
357,0,0,TRUE,,
358,0,0,TRUE,,
359,0,0,TRUE,,
360,0,0,TRUE,,
361,-1,0,FALSE,,
362,-1,0,FALSE,,
363,0,0,TRUE,,
364,0,0,TRUE,,
365,0,1,FALSE,,
366,1,0,FALSE,,
367,1,0,FALSE,,
368,0,0,TRUE,,
369,0,0,TRUE,,
370,1,0,FALSE,,
371,0,0,TRUE,,
372,0,0,TRUE,,
373,-1,1,FALSE,,
374,0,0,TRUE,,
375,0,0,TRUE,,
376,0,0,TRUE,,
377,1,0,FALSE,,
378,0,0,TRUE,,
379,-1,0,FALSE,,
380,1,0,FALSE,,
381,0,0,TRUE,,
382,0,0,TRUE,,
383,0,0,TRUE,,
384,0,1,FALSE,,
385,0,0,TRUE,,
386,1,0,FALSE,,
387,1,0,FALSE,,
388,1,0,FALSE,,
389,1,0,FALSE,,
390,0,0,TRUE,,
391,1,0,FALSE,,
392,0,0,TRUE,,
393,0,0,TRUE,,
394,1,0,FALSE,,
395,1,0,FALSE,,
396,0,0,TRUE,,
397,0,1,FALSE,,
398,-1,0,FALSE,,
399,1,0,FALSE,,
400,1,0,FALSE,,
401,0,0,TRUE,,
402,0,0,TRUE,,
403,0,0,TRUE,,
404,0,0,TRUE,,
405,0,0,TRUE,,
406,1,1,TRUE,,
407,0,0,TRUE,,
408,0,0,TRUE,,
409,-1,0,FALSE,,
410,0,0,TRUE,,
411,1,0,FALSE,,
412,1,0,FALSE,,
413,0,0,TRUE,,
414,0,0,TRUE,,
415,0,0,TRUE,,
416,0,0,TRUE,,
417,0,0,TRUE,,
418,1,0,FALSE,,
419,0,0,TRUE,,
420,-1,0,FALSE,,
