midwest,actual,pred
0,0,0.104246563
1,0.5,0.118380302
2,0.2,0.109994572
3,0,0.118159452
4,0.1125,0.115149403
5,0,0.117078848
6,-0.8,0.108591829
7,0,0.119100386
8,0.025,0.110868448
9,0,0.106725155
10,0,0.117311037
11,0,0.118460059
12,0.5,0.106374438
13,0,0.113911979
14,0,0.116364278
15,0.2,0.113372547
16,-0.09,0.115517408
17,0,0.107832986
18,0,0.105961491
19,1,0.117002477
20,0,0.113409503
21,0,0.105688247
22,0.136363636,0.108116543
23,-0.1,0.108860748
24,0,0.119197062
25,0,0.120844811
26,0.6,0.109151335
27,0.25,0.100763299
28,-1,0.110584135
29,0,0.114341276
30,1,0.111740201
31,0,0.115102037
32,0.46,0.113708672
33,0,0.11026566
34,-0.1,0.113750132
35,0,0.116273784
36,0,0.110495036
37,0.0625,0.114846547
38,0,0.112829255
39,0,0.113665769
40,0,0.115546915
41,0.5,0.115559789
42,0.7,0.114897135
43,0,0.110693635
44,0.1,0.109485286
45,0.125,0.112357559
46,0,0.107049031
47,0,0.111964908
48,0.8,0.115803526
49,0.045454545,0.108007412
50,-0.2,0.110544741
51,0,0.114082696
52,0.05,0.106682775
53,0.05,0.112277489
54,0,0.107142375
55,0,0.113911979
56,0,0.109041
57,-0.05,0.103987135
58,1,0.110967975
59,0,0.108136365
60,0,0.11255559
61,0,0.115477383
62,0.05,0.110787765
63,0.285714286,0.107923871
64,-0.05,0.118304182
65,0,0.102232874
66,0.85,0.109754131
67,0,0.113703994
68,0,0.107600564
69,0.5,0.110985194
70,0,0.101584311
71,0.5,0.109304799
72,0.05,0.107600564
73,-0.5,0.105435162
74,1,0.109612653
75,-0.75,0.112385913
76,0,0.111234092
77,0,0.109364523
78,0.309090909,0.111810318
79,0.328571429,0.113951371
80,0.8,0.114249883
81,0.111111111,0.108639342
82,1,0.102839594
83,0,0.114142696
84,0.4,0.113282264
85,0,0.116538874
86,0.5,0.099532085
87,-0.2,0.099172212
88,-0.435,0.109731247
89,0,0.102573261
90,0.25,0.108222562
91,-0.083333333,0.115726374
92,0.116666667,0.114301968
93,0,0.108875996
94,-0.65,0.115054556
95,0,0.109886013
96,0.6,0.111595329
97,0.333333333,0.115686449
98,0.208333333,0.106342551
99,-0.3,0.102573261
100,0.05,0.111680698
101,0.4,0.11837405
102,0.068181818,0.106682775
103,0,0.114422934
104,0.625,0.11043874
105,0,0.106703581
106,0,0.113187698
107,0,0.117211452
108,-0.05,0.112277489
109,0.380555556,0.111535306
110,0,0.109696374
111,-0.366832386,0.105984393
112,0,0.109586733
113,0.25,0.11504649
114,0.8,0.104596841
115,0.375,0.112444438
116,0,0.108301626
117,0,0.104238929
118,0.25,0.098763448
119,0.5,0.102880768
120,0,0.119356459
121,0.3,0.101799066
122,0.285714286,0.101667139
123,0,0.117728863
124,0.4,0.114111902
125,-0.15,0.11277427
126,-0.1875,0.115167901
127,0.305555556,0.106093336
128,0,0.112497566
129,0.4,0.104346014
130,0,0.117246875
131,-0.2,0.106611699
132,0,0.110231536
133,0.375,0.103317992
134,0,0.11098677
135,0.25,0.103733277
136,0,0.109755175
137,0,0.105954785
138,-0.125,0.103759538
139,0,0.101968413
140,0,0.103107455
141,0.2,0.114666202
142,0.65,0.107928164
143,0,0.111915534
144,0,0.115860521
145,0,0.116237696
146,0,0.102084424
147,0,0.112871451
148,-0.15,0.110483205
149,0.475,0.109057651
150,0,0.110080977
151,0,0.113198655
152,0,0.11023308
153,0.3,0.112479263
154,0.35,0.117877261
155,0.136363636,0.112092996
156,0.3,0.107896112
157,0.136363636,0.106883439
158,0.45,0.113542493
159,0.5,0.1051258
160,0,0.113702684
161,-0.75,0.106472913
162,0,0.107928164
163,0.1,0.107182493
164,-0.3,0.108299149
165,0,0.127802496
166,0.5,0.114165298
167,0.5,0.118924095
168,0,0.104886112
169,0.25,0.111685465
170,0.466666667,0.110760149
171,0,0.115045703
172,0,0.104590754
173,0,0.113999882
174,0.6,0.104036329
175,0,0.106560109
176,0,0.109472468
177,0,0.113153311
178,0.5,0.104002811
179,-0.44375,0.111892954
180,0,0.113294567
181,0.208333333,0.10076016
182,-0.054166667,0.116141807
183,0,0.108182544
184,0.170454545,0.110010241
185,-0.5,0.113318872
186,0.268181818,0.108066525
187,0,0.106468254
188,0,0.103557556
189,-0.166666667,0.107024038
190,-0.125,0.102976011
191,0,0.115614825
192,0,0.104250796
193,0,0.112310833
194,0,0.111234344
195,0.625,0.112848618
196,0,0.118459776
197,0.05,0.109650897
198,0.461904762,0.103642801
199,-0.5,0.112755297
200,0,0.109627572
201,0,0.105478443
202,0,0.110846437
203,0,0.11555192
204,0.175,0.111801122
205,-0.4,0.110984178
206,-0.5,0.101875947
207,-1,0.115546915
208,0.8,0.104723645
209,-0.2,0.112945188
210,0,0.10943286
211,0,0.103107455
212,0,0.101965042
213,0,0.107282533
214,0,0.115070687
215,-0.125,0.11329588
216,0,0.104832151
217,0,0.117986791
218,0,0.114547066
219,-0.3125,0.10443579
220,0.5,0.107644067
221,0.40625,0.117098633
222,0.6,0.09568682
223,1,0.108703417
224,0,0.099821174
225,0,0.112404102
226,0.418181818,0.103298574
227,0.4,0.108659684
228,0.35,0.106175644
229,1,0.108174889
230,0,0.134588355
231,-0.4875,0.116061433
232,0.8,0.114328818
233,-0.375,0.111381797
234,0.25,0.105365515
235,0.78125,0.113312235
236,0,0.114161966
237,-0.388888889,0.104858824
238,0.5,0.111880802
239,-0.25,0.118881991
240,0,0.115809936
241,0.441666667,0.11180113
242,0.35,0.110794976
243,0,0.109477353
244,0,0.108887096
245,0.1,0.110659704
246,0,0.113228026
247,0,0.114790192
248,0.6,0.10705736
249,-0.7,0.109057651
250,0.016666667,0.106394545
251,-0.714285714,0.117005405
252,0,0.102999083
253,0,0.109081164
254,0.136363636,0.110760282
255,0.4,0.114219521
256,0.875,0.119971567
257,0,0.109634738
258,0,0.113151229
259,0,0.11121449
260,0,0.111740201
261,0,0.109045164
262,-0.383333333,0.118816296
263,0,0.114729718
264,-0.25,0.104141747
265,0,0.112390489
266,0.5,0.112209027
267,-0.066666667,0.108231074
268,1,0.108932132
269,-0.05,0.120332543
270,0.15,0.108805825
271,0,0.106560109
272,0,0.113451497
273,-0.4,0.109875859
274,0.5,0.112086954
275,0,0.111584032
276,0.214285714,0.108003231
277,0,0.110807504
278,0.5,0.10803086
279,0,0.123617527
280,-0.46875,0.107300342
281,0,0.108850755
282,0.2,0.109045164
283,0.6,0.102098704
284,0.475,0.112918854
285,-0.125,0.113220889
286,0,0.105687903
287,0,0.106263555
288,0.45,0.10520037
289,0,0.114257677
290,0,0.106175644
291,0,0.107644067
292,0,0.113488815
293,0,0.115722421
294,1,0.106229591
295,0.3,0.111333479
296,0.5,0.112246314
297,0.037037037,0.109701651
298,0.107142857,0.117129127
299,0,0.115615666
300,0,0.115822879
301,0.25,0.105911823
302,-0.066666667,0.113634241
303,-0.4,0.120135151
304,0,0.11544845
305,0.525,0.11364636
306,0,0.109648125
307,0.020833333,0.109045164
308,0.136363636,0.119227749
309,0.178571429,0.115533008
310,0,0.104108227
311,0.420833333,0.112154216
312,0,0.109081164
313,0.3875,0.110666956
314,0,0.119231518
315,0.447916667,0.107654589
316,0,0.104917139
317,-0.5,0.109617673
318,-1,0.105646021
319,-0.625,0.115365132
320,0.4,0.112884683
321,0.2,0.10898863
322,0,0.115724655
323,0,0.110581214
324,0,0.113357151
325,0,0.110114137
326,0.05,0.107984225
327,0,0.111691242
328,-1,0.114776069
329,0,0.111381797
330,0,0.108488005
331,-0.4,0.119227319
332,0,0.103715182
333,0.5,0.11798516
334,0,0.105523493
335,0.136363636,0.111399155
336,0.35,0.108473045
337,0.3,0.111381512
338,0,0.109984438
339,0,0.120614753
340,0.266666667,0.114244983
341,0,0.114340565
342,0,0.10138964
343,0,0.111261916
344,0.2,0.111960299
345,0,0.107654589
346,0,0.111685741
347,0.375,0.109624428
348,0,0.116970916
349,0,0.106175644
350,0,0.113567493
351,-0.3,0.116964224
352,0.8,0.112022748
353,0.3125,0.106258013
354,-0.4,0.115652245
355,0.5,0.113080654
356,0,0.119227319
357,-0.077777778,0.121210342
358,0,0.106514205
359,0,0.106682775
360,0,0.103744891
361,0,0.103237346
362,0.5,0.107182493
363,0,0.114854296
364,0,0.111497697
365,0.5,0.10656442
366,0,0.101555319
367,0.7,0.114824133
368,0.03968254,0.097860453
369,0.5,0.107600564
370,0,0.106626737
371,-0.7,0.113600916
372,0.370833333,0.110565992
373,0,0.112218632
374,-0.1,0.116617791
375,-0.125,0.119386577
376,0.136363636,0.112747148
377,0,0.108608437
378,0.170454545,0.115236417
379,1,0.121898021
380,0,0.111392069
381,0,0.116359522
382,0,0.11629373
383,0,0.106894516
384,0,0.105948439
385,0.4,0.116336773
386,0,0.114032168
387,-0.2,0.111304103
388,-0.208333333,0.116442203
389,0.2,0.116182517
390,0,0.107214118
391,0,0.115149403
392,0,0.111621347
393,0.8,0.109550378
394,0,0.109375649
395,0,0.108628141
396,0.1,0.109556019
397,0,0.104326683
398,-0.083333333,0.117728403
399,0.1,0.108313267
400,0.066666667,0.109448353
401,0,0.114048225
402,-0.15,0.105812711
403,0,0.103135454
404,-0.15,0.105435162
405,0,0.110890415
406,0,0.113189877
407,0,0.109853381
408,0,0.11681014
409,0.002222222,0.111542498
410,0,0.113318228
411,0,0.119010752
412,0,0.108775533
413,0.325,0.099821174
414,0,0.106871885
415,0,0.117253351
416,0,0.115366681
417,0.8,0.115432995
418,0,0.105379139
419,0,0.099876956
420,0,0.110668615
421,0.5,0.105946748
422,0,0.107365674
423,0,0.110726679
424,-0.155555556,0.112277489
425,0,0.114897135
426,0,0.11527466
427,0.65,0.124365197
428,0.25,0.111938936
429,-0.4,0.112871451
430,-0.4625,0.111801122
431,0,0.112607592
432,-0.5,0.101210908
433,0.488888889,0.110375154
434,0,0.108591829
435,0.18,0.10610364
436,0.077777778,0.107724467
437,0,0.104697012
438,0.25,0.111542498
439,-0.1,0.10610364
440,0,0.107510608
441,0.05,0.116884352
442,0,0.109556019
443,1,0.112493898
444,0,0.115999907
445,0.333333333,0.116450815
446,0.125,0.114207112
447,0,0.105742715
448,0.172222222,0.104583625
449,0,0.120604945
450,0,0.113520588
451,-0.1,0.104346014
452,0.333333333,0.126279163
453,0.142857143,0.114574656
454,0,0.114169931
455,0.083333333,0.116379463
456,0,0.111257169
457,0.5,0.115767883
458,0,0.109754131
459,0.4,0.106555555
460,0,0.109556019
461,0.3875,0.111236886
462,0,0.1117486
463,0.136363636,0.115864716
464,0,0.115332344
465,0,0.101635298
466,0,0.118645475
467,0,0.111520898
468,-0.3,0.107604765
469,0,0.115854331
470,0.075,0.10733519
471,0,0.119662696
472,-0.75,0.10733519
473,0,0.097092562
474,-0.1,0.114663688
475,0.168181818,0.111347865
476,0.05,0.111486193
477,0.458333333,0.110494805
478,-0.05,0.104949154
479,0,0.108790406
480,0,0.105793657
481,-0.3,0.114557054
482,0,0.114888044
483,0.2,0.110584135
484,0.033333333,0.109398038
485,0.2,0.106257406
486,0,0.110807504
487,0,0.113642307
488,-0.0625,0.110895311
489,0,0.11544845
490,0,0.116229332
491,0,0.108174889
492,0,0.107142375
493,0.625,0.108456759
494,0.2,0.117847222
495,-0.291666667,0.110794425
496,0.8,0.114855165
497,0.5,0.111795597
498,-0.1,0.118817993
499,0,0.111205243
500,0,0.110951322
501,-0.177083333,0.11904535
502,-0.25,0.109223161
503,1,0.107200836
504,0,0.113368687
505,0.44,0.111810318
506,0.137037037,0.110024245
507,0,0.115603101
508,0,0.111540752
509,0,0.109399778
