,humidity,pressure,temperature,wind_speed
2016-03-01 00:00:00,46.0,1018.0,293.15,2.0
2016-03-01 01:00:00,53.0,1018.0,290.790492529,1.0
2016-03-01 02:00:00,63.0,1019.0,288.01,1.0
2016-03-01 03:00:00,62.0,1019.0,286.487113786,1.0
2016-03-01 04:00:00,62.0,1019.0,284.78,1.0
2016-03-01 05:00:00,71.0,1019.0,283.12,1.0
2016-03-01 06:00:00,70.0,1019.0,283.114022354,1.0
2016-03-01 07:00:00,70.0,1019.0,281.43,1.0
2016-03-01 08:00:00,70.0,1019.0,281.430835773,1.0
2016-03-01 09:00:00,73.0,1018.0,281.475767461,1.0
2016-03-01 10:00:00,76.0,1018.0,281.52,1.0
2016-03-01 11:00:00,81.0,1025.0,282.809898033,2.0
2016-03-01 12:00:00,81.0,1019.0,280.58,1.0
2016-03-01 13:00:00,76.0,1019.0,281.496317084,2.0
2016-03-01 14:00:00,70.0,1019.0,282.64,2.0
2016-03-01 15:00:00,62.0,1018.0,288.29,1.0
2016-03-01 16:00:00,63.0,1018.0,292.02,5.0
2016-03-01 17:00:00,56.0,1017.0,293.89,4.0
2016-03-01 18:00:00,56.0,1016.0,293.897298545,4.0
2016-03-01 19:00:00,56.0,1015.0,294.26,7.0
2016-03-01 20:00:00,55.0,1015.0,294.30508252,7.0
2016-03-01 21:00:00,46.0,1014.0,294.15,7.0
2016-03-01 22:00:00,52.0,1013.0,293.964509024,6.0
2016-03-01 23:00:00,60.0,1012.0,293.77,5.0
2016-03-02 00:00:00,100.0,1012.0,290.82,1.0
2016-03-02 01:00:00,99.0,1012.0,290.784579981,1.0
2016-03-02 02:00:00,97.0,1019.0,289.24828999,3.0
2016-03-02 03:00:00,87.0,1012.0,286.77,5.0
2016-03-02 04:00:00,100.0,1014.0,284.4,2.0
2016-03-02 05:00:00,99.0,1014.0,284.376409675,2.0
2016-03-02 06:00:00,81.0,1015.0,283.28,2.0
2016-03-02 07:00:00,100.0,1016.0,282.3,3.0
2016-03-02 08:00:00,99.0,1016.0,282.158646454,3.0
2016-03-02 09:00:00,93.0,1016.0,281.81,6.0
2016-03-02 10:00:00,84.0,1016.0,280.606600164,5.0
2016-03-02 11:00:00,75.0,1016.0,279.33,5.0
2016-03-02 12:00:00,86.0,1018.0,277.16,6.0
2016-03-02 13:00:00,86.0,1018.0,277.149731241,6.0
2016-03-02 14:00:00,87.0,1027.0,276.865365621,5.0
2016-03-02 15:00:00,80.0,1020.0,276.82,4.0
2016-03-02 16:00:00,73.0,1020.0,277.667000891,4.0
2016-03-02 17:00:00,65.0,1021.0,278.71,4.0
2016-03-02 18:00:00,79.0,1020.0,281.26,5.0
2016-03-02 19:00:00,78.0,1020.0,281.261820324,5.0
2016-03-02 20:00:00,70.0,1027.0,281.765910162,4.0
2016-03-02 21:00:00,46.0,1020.0,283.15,6.0
2016-03-02 22:00:00,51.0,1020.0,283.490251213,5.0
2016-03-02 23:00:00,59.0,1020.0,284.02,4.0
2016-03-03 00:00:00,59.0,1020.0,282.637486911,3.0
2016-03-03 01:00:00,59.0,1020.0,280.6,2.0
2016-03-03 02:00:00,58.0,1026.0,278.651283508,2.0
2016-03-03 03:00:00,65.0,1021.0,279.03,1.0
2016-03-03 04:00:00,69.0,1020.0,278.356623287,1.0
2016-03-03 05:00:00,75.0,1020.0,277.37,1.0
2016-03-03 06:00:00,77.0,1020.0,277.050741688,1.0
2016-03-03 07:00:00,80.0,1020.0,276.64,1.0
2016-03-03 08:00:00,73.0,1027.0,275.107994334,1.0
2016-03-03 09:00:00,86.0,1020.0,276.14,1.0
2016-03-03 10:00:00,84.0,1020.0,275.901013357,1.0
2016-03-03 11:00:00,80.0,1020.0,275.39,1.0
2016-03-03 12:00:00,75.0,1020.0,275.683899259,2.0
2016-03-03 13:00:00,64.0,1020.0,276.52,5.0
2016-03-03 14:00:00,62.0,1024.0,277.709946755,5.0
2016-03-03 15:00:00,49.0,1020.0,280.65,4.0
2016-03-03 16:00:00,49.0,1019.0,280.708474993,3.0
2016-03-03 17:00:00,52.0,1019.0,280.89,2.0
2016-03-03 18:00:00,57.0,1018.0,279.786501233,3.0
2016-03-03 19:00:00,75.0,1017.0,276.59,7.0
2016-03-03 20:00:00,79.0,1021.0,278.699751548,5.0
2016-03-03 21:00:00,93.0,1016.0,277.15,3.0
2016-03-03 22:00:00,94.0,1015.0,277.147605074,2.0
2016-03-03 23:00:00,100.0,1015.0,277.14,2.0
2016-03-04 00:00:00,100.0,1014.0,277.265408211,2.0
2016-03-04 01:00:00,96.0,1021.0,279.435236284,3.0
2016-03-04 02:00:00,100.0,1014.0,277.99,3.0
2016-03-04 03:00:00,100.0,1014.0,277.732556197,3.0
2016-03-04 04:00:00,98.0,1022.0,278.230497682,3.0
2016-03-04 05:00:00,100.0,1015.0,277.16,3.0
2016-03-04 06:00:00,97.0,1015.0,277.106183844,2.0
2016-03-04 07:00:00,93.0,1015.0,277.02,1.0
2016-03-04 08:00:00,95.0,1020.0,277.34089424,1.0
2016-03-04 09:00:00,100.0,1015.0,277.15,1.0
2016-03-04 10:00:00,98.0,1015.0,277.15,1.0
2016-03-04 11:00:00,93.0,1016.0,277.15,2.0
2016-03-04 12:00:00,93.0,1016.0,277.427836934,2.0
2016-03-04 13:00:00,93.0,1017.0,278.37,3.0
2016-03-04 14:00:00,94.0,1022.0,278.913536224,3.0
2016-03-04 15:00:00,81.0,1019.0,279.49,4.0
2016-03-04 16:00:00,78.0,1019.0,279.82569573,5.0
2016-03-04 17:00:00,70.0,1020.0,280.9,6.0
2016-03-04 18:00:00,66.0,1020.0,281.59047828,6.0
2016-03-04 19:00:00,57.0,1020.0,283.7,4.0
2016-03-04 20:00:00,61.0,1024.0,284.568712161,4.0
2016-03-04 21:00:00,50.0,1019.0,285.28,5.0
2016-03-04 22:00:00,50.0,1019.0,285.018097588,5.0
2016-03-04 23:00:00,53.0,1020.0,284.04,5.0
2016-03-05 00:00:00,54.0,1020.0,283.30896395,4.0
2016-03-05 01:00:00,61.0,1020.0,280.7,1.0
2016-03-05 02:00:00,65.0,1025.0,279.670716108,1.0
2016-03-05 03:00:00,70.0,1021.0,279.26,2.0
2016-03-05 04:00:00,73.0,1021.0,278.701322773,2.0
2016-03-05 05:00:00,86.0,1021.0,277.02,1.0
2016-03-05 06:00:00,87.0,1021.0,276.538441996,1.0
2016-03-05 07:00:00,93.0,1021.0,275.27,1.0
2016-03-05 08:00:00,87.0,1027.0,273.97501847,1.0
2016-03-05 09:00:00,86.0,1020.0,274.0,1.0
2016-03-05 10:00:00,87.0,1020.0,273.840108268,1.0
2016-03-05 11:00:00,92.0,1021.0,273.43,1.0
2016-03-05 12:00:00,89.0,1021.0,273.861784919,1.0
2016-03-05 13:00:00,82.0,1022.0,274.92,1.0
2016-03-05 14:00:00,79.0,1027.0,277.179804214,1.0
2016-03-05 15:00:00,65.0,1023.0,280.89,1.0
2016-03-05 16:00:00,60.0,1023.0,282.031215959,1.0
2016-03-05 17:00:00,50.0,1023.0,285.15,1.0
2016-03-05 18:00:00,44.0,1022.0,285.572864967,1.0
2016-03-05 19:00:00,28.0,1021.0,286.89,1.0
2016-03-05 20:00:00,40.0,1026.0,287.413871883,1.0
2016-03-05 21:00:00,29.0,1019.0,289.81,3.0
2016-03-05 22:00:00,29.0,1019.0,289.894471944,3.0
2016-03-05 23:00:00,29.0,1019.0,290.03,3.0
2016-03-06 00:00:00,51.0,1019.0,287.4,2.0
2016-03-06 01:00:00,51.0,1019.0,287.395537821,2.0
2016-03-06 02:00:00,57.0,1027.0,284.18276891,2.0
2016-03-06 03:00:00,62.0,1020.0,284.02,1.0
2016-03-06 04:00:00,75.0,1020.0,282.654684436,1.0
2016-03-06 05:00:00,90.0,1021.0,281.27,1.0
2016-03-06 06:00:00,57.0,1022.0,283.42,2.0
2016-03-06 07:00:00,71.0,1022.0,282.26,6.0
2016-03-06 08:00:00,71.0,1023.0,281.949710567,5.0
2016-03-06 09:00:00,76.0,1022.0,281.13,4.0
2016-03-06 10:00:00,75.0,1022.0,279.51,4.0
2016-03-06 11:00:00,70.0,1023.0,279.14,1.0
2016-03-06 12:00:00,81.0,1024.0,277.75,3.0
2016-03-06 13:00:00,80.0,1024.0,277.821128965,3.0
2016-03-06 14:00:00,61.0,1025.0,281.64,4.0
2016-03-06 15:00:00,60.0,1025.0,281.700407826,4.0
2016-03-06 16:00:00,23.0,1026.0,285.52,1.0
2016-03-06 17:00:00,23.0,1026.0,285.567280438,1.0
2016-03-06 18:00:00,26.0,1024.0,289.26,2.0
2016-03-06 19:00:00,26.0,1023.0,289.539740956,2.0
2016-03-06 20:00:00,29.0,1023.0,290.69,1.0
2016-03-06 21:00:00,6.0,1022.0,292.03,1.0
2016-03-06 22:00:00,6.0,1022.0,292.026417038,1.0
2016-03-06 23:00:00,31.0,1023.0,291.04,1.0
2016-03-07 00:00:00,31.0,1023.0,291.005528028,1.0
2016-03-07 01:00:00,38.0,1023.0,285.11,3.0
2016-03-07 02:00:00,38.0,1023.0,285.091970694,3.0
2016-03-07 03:00:00,43.0,1024.0,282.85,1.0
2016-03-07 04:00:00,43.0,1024.0,282.820407434,1.0
2016-03-07 05:00:00,57.0,1024.0,281.35,3.0
2016-03-07 06:00:00,61.0,1024.0,279.98,1.0
2016-03-07 07:00:00,61.0,1024.0,279.962424663,1.0
2016-03-07 08:00:00,66.0,1024.0,278.85,1.0
2016-03-07 09:00:00,66.0,1024.0,278.825882511,1.0
2016-03-07 10:00:00,77.0,1031.0,277.682255276,2.0
2016-03-07 11:00:00,81.0,1024.0,277.23,1.0
2016-03-07 12:00:00,87.0,1025.0,277.23,2.0
2016-03-07 13:00:00,75.0,1027.0,279.52,2.0
2016-03-07 14:00:00,71.0,1031.0,281.250536988,2.0
2016-03-07 15:00:00,66.0,1027.0,283.68,2.0
2016-03-07 16:00:00,55.0,1027.0,285.574600907,3.0
2016-03-07 17:00:00,41.0,1027.0,288.28,4.0
2016-03-07 18:00:00,23.0,1026.0,291.03,4.0
2016-03-07 19:00:00,23.0,1026.0,291.096652895,4.0
2016-03-07 20:00:00,28.0,1031.0,292.615326447,3.0
2016-03-07 21:00:00,16.0,1024.0,293.15,3.0
2016-03-07 22:00:00,24.0,1023.0,293.470776887,3.0
2016-03-07 23:00:00,37.0,1023.0,293.93,3.0
2016-03-08 00:00:00,41.0,1023.0,292.463413643,2.0
2016-03-08 01:00:00,48.0,1023.0,290.37,1.0
2016-03-08 02:00:00,54.0,1029.0,287.949574977,2.0
2016-03-08 03:00:00,55.0,1024.0,286.34,2.0
2016-03-08 04:00:00,57.0,1024.0,285.538154888,2.0
2016-03-08 05:00:00,62.0,1024.0,284.33,2.0
2016-03-08 06:00:00,71.0,1024.0,282.48,1.0
2016-03-08 07:00:00,71.0,1024.0,282.453740566,1.0
2016-03-08 08:00:00,76.0,1024.0,282.1,2.0
2016-03-08 09:00:00,78.0,1023.0,281.885871843,1.0
2016-03-08 10:00:00,81.0,1023.0,281.61,1.0
2016-03-08 11:00:00,83.0,1029.0,280.63295143,2.0
2016-03-08 12:00:00,70.0,1025.0,279.84,1.0
2016-03-08 13:00:00,77.0,1025.0,280.821800166,1.0
2016-03-08 14:00:00,87.0,1025.0,282.11,2.0
2016-03-08 15:00:00,71.0,1025.0,284.908660171,2.0
2016-03-08 16:00:00,51.0,1027.0,288.77,2.0
2016-03-08 17:00:00,49.0,1031.0,291.607685083,3.0
2016-03-08 18:00:00,37.0,1026.0,292.57,3.0
2016-03-08 19:00:00,33.0,1025.0,293.562684943,3.0
2016-03-08 20:00:00,30.0,1024.0,294.87,4.0
2016-03-08 21:00:00,29.0,1023.0,295.31377568,3.0
2016-03-08 22:00:00,28.0,1022.0,295.91,2.0
2016-03-08 23:00:00,32.0,1027.0,294.838491754,3.0
2016-03-09 00:00:00,49.0,1021.0,295.27,3.0
2016-03-09 01:00:00,54.0,1021.0,293.833684069,3.0
2016-03-09 02:00:00,63.0,1021.0,291.76,3.0
2016-03-09 03:00:00,64.0,1021.0,290.613638829,2.0
2016-03-09 04:00:00,68.0,1021.0,288.89,2.0
2016-03-09 05:00:00,66.0,1027.0,288.025194145,2.0
2016-03-09 06:00:00,72.0,1021.0,286.66,2.0
2016-03-09 07:00:00,74.0,1021.0,286.400459964,2.0
2016-03-09 08:00:00,77.0,1021.0,286.08,2.0
2016-03-09 09:00:00,84.0,1021.0,285.399002695,1.0
2016-03-09 10:00:00,93.0,1022.0,284.53,1.0
2016-03-09 11:00:00,92.0,1028.0,283.70773494,2.0
