,humidity,pressure,temperature,wind_speed
2016-03-01 00:00:00,42.0,1015.0,282.94,6.0
2016-03-01 01:00:00,57.0,1015.0,281.549080348,4.0
2016-03-01 02:00:00,76.0,1017.0,279.83,2.0
2016-03-01 03:00:00,83.0,1017.0,279.169114486,3.0
2016-03-01 04:00:00,93.0,1018.0,278.39,5.0
2016-03-01 05:00:00,84.0,1020.0,279.074410023,6.0
2016-03-01 06:00:00,100.0,1019.0,279.87,6.0
2016-03-01 07:00:00,100.0,1019.0,280.24,8.0
2016-03-01 08:00:00,99.0,1019.0,280.195303113,8.0
2016-03-01 09:00:00,100.0,1019.0,278.329089184,8.0
2016-03-01 10:00:00,100.0,1019.0,276.39,8.0
2016-03-01 11:00:00,94.0,1025.0,275.883924901,7.0
2016-03-01 12:00:00,100.0,1020.0,273.96,6.0
2016-03-01 13:00:00,96.0,1020.0,274.105763747,4.0
2016-03-01 14:00:00,93.0,1020.0,274.3,1.0
2016-03-01 15:00:00,22.0,1022.0,275.16,4.0
2016-03-01 16:00:00,82.0,1020.0,276.62,3.0
2016-03-01 17:00:00,23.0,1020.0,276.86,2.0
2016-03-01 18:00:00,23.0,1019.0,276.878396979,2.0
2016-03-01 19:00:00,68.0,1016.0,279.6,6.0
2016-03-01 20:00:00,68.0,1016.0,279.588518248,6.0
2016-03-01 21:00:00,82.0,1015.0,280.01,7.0
2016-03-01 22:00:00,84.0,1015.0,279.304838344,6.0
2016-03-01 23:00:00,87.0,1015.0,278.53,5.0
2016-03-02 00:00:00,87.0,1014.0,277.657559365,7.0
2016-03-02 01:00:00,87.0,1013.0,276.76,9.0
2016-03-02 02:00:00,88.0,1020.0,276.736030038,7.0
2016-03-02 03:00:00,87.0,1012.0,276.47,10.0
2016-03-02 04:00:00,84.0,1011.0,276.810070922,10.0
2016-03-02 05:00:00,82.0,1010.0,277.17,10.0
2016-03-02 06:00:00,87.0,1009.0,277.63,7.0
2016-03-02 07:00:00,87.0,1007.0,278.94,10.0
2016-03-02 08:00:00,87.0,1007.0,279.002779098,10.0
2016-03-02 09:00:00,72.0,1007.0,280.02,8.0
2016-03-02 10:00:00,74.0,1006.0,281.220827887,8.0
2016-03-02 11:00:00,77.0,1006.0,282.56,7.0
2016-03-02 12:00:00,93.0,1007.0,284.81,4.0
2016-03-02 13:00:00,92.0,1007.0,284.797183174,4.0
2016-03-02 14:00:00,88.0,1008.0,283.614091587,5.0
2016-03-02 15:00:00,93.0,1008.0,282.23,2.0
2016-03-02 16:00:00,79.0,1008.0,281.324397759,3.0
2016-03-02 17:00:00,62.0,1010.0,280.11,5.0
2016-03-02 18:00:00,58.0,1010.0,279.233134072,6.0
2016-03-02 19:00:00,53.0,1011.0,278.03,8.0
2016-03-02 20:00:00,69.0,1013.0,277.828063152,8.0
2016-03-02 21:00:00,87.0,1013.0,276.36,7.0
2016-03-02 22:00:00,91.0,1014.0,275.704275941,7.0
2016-03-02 23:00:00,98.0,1016.0,274.62,7.0
2016-03-03 00:00:00,83.0,1017.0,273.741352763,7.0
2016-03-03 01:00:00,60.0,1019.0,272.36,6.0
2016-03-03 02:00:00,77.0,1021.0,271.884096317,7.0
2016-03-03 03:00:00,60.0,1021.0,270.65,4.0
2016-03-03 04:00:00,60.0,1021.0,270.07745447,5.0
2016-03-03 05:00:00,60.0,1022.0,269.18,7.0
2016-03-03 06:00:00,60.0,1022.0,268.69593985,6.0
2016-03-03 07:00:00,60.0,1023.0,268.02,5.0
2016-03-03 08:00:00,79.0,1027.0,268.341216606,6.0
2016-03-03 09:00:00,48.0,1018.0,267.09,3.0
2016-03-03 10:00:00,52.0,1019.0,266.901108563,4.0
