,humidity,pressure,temperature,wind_speed
2016-03-01 00:00:00,19.0,1008.0,292.97,7.0
2016-03-01 01:00:00,20.0,1008.0,291.830334809,6.0
2016-03-01 02:00:00,22.0,1008.0,290.47,4.0
2016-03-01 03:00:00,24.0,1008.0,290.076892995,5.0
2016-03-01 04:00:00,27.0,1008.0,289.63,7.0
2016-03-01 05:00:00,27.0,1008.0,288.970779001,6.0
2016-03-01 06:00:00,29.0,1008.0,288.29,6.0
2016-03-01 07:00:00,65.0,1011.0,278.48,7.0
2016-03-01 08:00:00,64.0,1011.0,278.595659164,7.0
2016-03-01 09:00:00,64.0,1012.0,276.883314379,6.0
2016-03-01 10:00:00,64.0,1013.0,275.32,6.0
2016-03-01 11:00:00,58.0,1021.0,275.873783375,7.0
2016-03-01 12:00:00,59.0,1013.0,273.32,8.0
2016-03-01 13:00:00,60.0,1013.0,272.733852613,7.0
2016-03-01 14:00:00,63.0,1015.0,271.99,6.0
2016-03-01 15:00:00,55.0,1020.0,272.29,7.0
2016-03-01 16:00:00,63.0,1020.0,272.65,5.0
2016-03-01 17:00:00,46.0,1021.0,272.66,6.0
2016-03-01 18:00:00,46.0,1021.0,272.697990203,6.0
2016-03-01 19:00:00,55.0,1021.0,275.0,5.0
2016-03-01 20:00:00,54.0,1021.0,275.22201432,5.0
2016-03-01 21:00:00,51.0,1021.0,275.84,6.0
2016-03-01 22:00:00,47.0,1021.0,276.475275568,6.0
2016-03-01 23:00:00,44.0,1021.0,277.15,6.0
2016-03-02 00:00:00,47.0,1022.0,275.65,5.0
2016-03-02 01:00:00,47.0,1022.0,275.616932488,5.0
2016-03-02 02:00:00,53.0,1030.0,273.564466244,3.0
2016-03-02 03:00:00,47.0,1023.0,272.97,3.0
2016-03-02 04:00:00,58.0,1023.0,271.14,2.0
2016-03-02 05:00:00,58.0,1023.0,271.110363136,2.0
2016-03-02 06:00:00,63.0,1022.0,270.35,3.0
2016-03-02 07:00:00,63.0,1022.0,269.93,2.0
2016-03-02 08:00:00,63.0,1022.0,269.801957582,2.0
2016-03-02 09:00:00,68.0,1022.0,269.34,3.0
2016-03-02 10:00:00,68.0,1022.0,269.002520481,2.0
2016-03-02 11:00:00,68.0,1022.0,268.64,2.0
2016-03-02 12:00:00,63.0,1021.0,269.8,3.0
2016-03-02 13:00:00,62.0,1021.0,269.873392197,3.0
2016-03-02 14:00:00,59.0,1027.0,272.389696099,4.0
2016-03-02 15:00:00,58.0,1021.0,271.31,3.0
2016-03-02 16:00:00,56.0,1020.0,273.085077001,3.0
2016-03-02 17:00:00,55.0,1019.0,275.32,4.0
2016-03-02 18:00:00,48.0,1017.0,278.231041215,5.0
2016-03-02 19:00:00,39.0,1016.0,281.98,7.0
2016-03-02 20:00:00,37.0,1019.0,285.210058602,8.0
2016-03-02 21:00:00,30.0,1012.0,287.5,6.0
2016-03-02 22:00:00,28.0,1011.0,288.007452238,5.0
2016-03-02 23:00:00,26.0,1010.0,288.81,4.0
2016-03-03 00:00:00,28.0,1009.0,288.214533315,4.0
2016-03-03 01:00:00,33.0,1009.0,287.32,4.0
2016-03-03 02:00:00,33.0,1014.0,286.754316353,5.0
2016-03-03 03:00:00,28.0,1009.0,285.65,4.0
2016-03-03 04:00:00,29.0,1008.0,285.577955143,4.0
2016-03-03 05:00:00,32.0,1008.0,285.47,6.0
2016-03-03 06:00:00,34.0,1008.0,285.47,5.0
2016-03-03 07:00:00,37.0,1009.0,285.47,3.0
2016-03-03 08:00:00,43.0,1015.0,284.201172178,3.0
2016-03-03 09:00:00,53.0,1008.0,282.76,5.0
2016-03-03 10:00:00,55.0,1008.0,281.940963362,4.0
2016-03-03 11:00:00,61.0,1009.0,280.16,2.0
2016-03-03 12:00:00,65.0,1009.0,279.354679188,3.0
2016-03-03 13:00:00,80.0,1012.0,276.99,7.0
2016-03-03 14:00:00,76.0,1017.0,277.929730733,7.0
2016-03-03 15:00:00,69.0,1015.0,276.65,5.0
2016-03-03 16:00:00,64.0,1015.0,277.643645064,5.0
2016-03-03 17:00:00,49.0,1016.0,280.81,6.0
2016-03-03 18:00:00,49.0,1016.0,281.566553794,6.0
2016-03-03 19:00:00,50.0,1016.0,283.82,4.0
2016-03-03 20:00:00,48.0,1021.0,284.53819407,5.0
2016-03-03 21:00:00,43.0,1017.0,285.32,4.0
2016-03-03 22:00:00,44.0,1017.0,285.045005115,4.0
2016-03-03 23:00:00,51.0,1017.0,284.15,4.0
2016-03-04 00:00:00,51.0,1017.0,283.510294118,3.0
2016-03-04 01:00:00,51.0,1025.0,281.187244898,4.0
2016-03-04 02:00:00,52.0,1019.0,279.65,2.0
2016-03-04 03:00:00,57.0,1019.0,278.521466667,2.0
2016-03-04 04:00:00,69.0,1028.0,276.245153846,2.0
2016-03-04 05:00:00,69.0,1021.0,275.97,3.0
2016-03-04 06:00:00,70.0,1021.0,275.580045432,2.0
2016-03-04 07:00:00,74.0,1021.0,274.94,2.0
2016-03-04 08:00:00,77.0,1026.0,273.01105514,2.0
2016-03-04 09:00:00,80.0,1021.0,272.63,2.0
2016-03-04 10:00:00,80.0,1021.0,272.472019899,2.0
2016-03-04 11:00:00,80.0,1021.0,271.96,2.0
2016-03-04 12:00:00,81.0,1021.0,271.964433004,2.0
2016-03-04 13:00:00,86.0,1021.0,271.98,2.0
2016-03-04 14:00:00,82.0,1025.0,273.649857472,2.0
2016-03-04 15:00:00,80.0,1022.0,276.14,3.0
2016-03-04 16:00:00,74.0,1021.0,277.696302637,3.0
2016-03-04 17:00:00,57.0,1020.0,282.81,5.0
2016-03-04 18:00:00,53.0,1019.0,283.89374234,4.0
2016-03-04 19:00:00,44.0,1018.0,287.32,3.0
2016-03-04 20:00:00,43.0,1022.0,288.451374039,4.0
2016-03-04 21:00:00,36.0,1015.0,290.32,6.0
2016-03-04 22:00:00,34.0,1015.0,290.556975529,5.0
2016-03-04 23:00:00,29.0,1015.0,291.48,4.0
2016-03-05 00:00:00,30.0,1014.0,290.377075386,4.0
2016-03-05 01:00:00,38.0,1014.0,286.32,4.0
2016-03-05 02:00:00,39.0,1019.0,286.046975027,4.0
2016-03-05 03:00:00,41.0,1016.0,285.48,2.0
2016-03-05 04:00:00,42.0,1016.0,285.071437309,2.0
2016-03-05 05:00:00,46.0,1017.0,283.81,4.0
2016-03-05 06:00:00,47.0,1017.0,283.05295042,4.0
2016-03-05 07:00:00,53.0,1019.0,281.0,4.0
2016-03-05 08:00:00,54.0,1025.0,280.521891199,4.0
2016-03-05 09:00:00,61.0,1020.0,278.45,3.0
2016-03-05 10:00:00,66.0,1020.0,277.766980177,3.0
2016-03-05 11:00:00,80.0,1020.0,275.97,1.0
2016-03-05 12:00:00,79.0,1020.0,275.731001252,1.0
2016-03-05 13:00:00,79.0,1022.0,275.13,1.0
2016-03-05 14:00:00,69.0,1027.0,277.931050398,1.0
2016-03-05 15:00:00,57.0,1023.0,282.15,1.0
2016-03-05 16:00:00,50.0,1023.0,283.596346373,2.0
2016-03-05 17:00:00,31.0,1023.0,287.64,4.0
2016-03-05 18:00:00,30.0,1023.0,288.075499229,4.0
2016-03-05 19:00:00,29.0,1024.0,289.48,3.0
2016-03-05 20:00:00,36.0,1029.0,289.442377266,2.0
2016-03-05 21:00:00,24.0,1023.0,291.65,3.0
2016-03-05 22:00:00,23.0,1022.0,291.585349271,2.0
2016-03-05 23:00:00,22.0,1022.0,291.48,1.0
2016-03-06 00:00:00,23.0,1022.0,290.073882682,1.0
2016-03-06 01:00:00,25.0,1022.0,288.64,1.0
2016-03-06 02:00:00,31.0,1028.0,285.536492693,3.0
2016-03-06 03:00:00,35.0,1022.0,284.3,3.0
2016-03-06 04:00:00,35.0,1021.0,283.959431018,3.0
2016-03-06 05:00:00,35.0,1021.0,283.61,4.0
2016-03-06 06:00:00,34.0,1021.0,281.79,3.0
2016-03-06 07:00:00,34.0,1021.0,281.95,4.0
2016-03-06 08:00:00,34.0,1022.0,281.887846588,4.0
2016-03-06 09:00:00,37.0,1021.0,281.45,5.0
2016-03-06 10:00:00,42.0,1019.0,281.47,1.0
2016-03-06 11:00:00,37.0,1019.0,281.79,6.0
2016-03-06 12:00:00,39.0,1018.0,281.29,7.0
2016-03-06 13:00:00,38.0,1017.0,281.315060942,7.0
2016-03-06 14:00:00,37.0,1017.0,282.95,5.0
2016-03-06 15:00:00,37.0,1016.0,283.013641499,5.0
2016-03-06 16:00:00,38.0,1016.0,288.14,7.0
2016-03-06 17:00:00,37.0,1016.0,288.186290829,7.0
2016-03-06 18:00:00,32.0,1013.0,293.48,10.0
2016-03-06 19:00:00,32.0,1012.0,293.861887129,9.0
2016-03-06 20:00:00,33.0,1011.0,295.48,8.0
2016-03-06 21:00:00,35.0,1009.0,294.81,8.0
2016-03-06 22:00:00,35.0,1008.0,294.809185917,8.0
2016-03-06 23:00:00,35.0,1008.0,293.64,6.0
2016-03-07 00:00:00,35.0,1008.0,293.636474173,6.0
2016-03-07 01:00:00,37.0,1014.0,293.281772563,7.0
2016-03-07 02:00:00,37.0,1008.0,292.3,5.0
2016-03-07 03:00:00,40.0,1008.0,292.14,5.0
2016-03-07 04:00:00,40.0,1007.0,292.131776316,5.0
2016-03-07 05:00:00,42.0,1007.0,291.64,6.0
2016-03-07 06:00:00,42.0,1006.0,291.47,9.0
2016-03-07 07:00:00,42.0,1005.0,291.468044444,9.0
2016-03-07 08:00:00,48.0,1005.0,291.31,7.0
2016-03-07 09:00:00,48.0,1005.0,291.31,7.0
2016-03-07 10:00:00,57.0,1011.0,291.645990228,8.0
2016-03-07 11:00:00,52.0,1005.0,291.31,6.0
2016-03-07 12:00:00,55.0,1004.0,291.14,8.0
2016-03-07 13:00:00,59.0,1005.0,290.98,10.0
2016-03-07 14:00:00,57.0,1009.0,292.056132075,10.0
2016-03-07 15:00:00,59.0,1005.0,290.97,9.0
2016-03-07 16:00:00,62.0,1005.0,291.247352415,9.0
2016-03-07 17:00:00,68.0,1006.0,291.65,9.0
2016-03-07 18:00:00,64.0,1006.0,293.14,12.0
2016-03-07 19:00:00,63.0,1006.0,293.215877729,12.0
2016-03-07 20:00:00,54.0,1011.0,295.349938865,11.0
2016-03-07 21:00:00,60.0,1005.0,293.31,9.0
2016-03-07 22:00:00,60.0,1005.0,293.179444598,9.0
2016-03-07 23:00:00,60.0,1005.0,292.99,9.0
2016-03-08 00:00:00,61.0,1005.0,292.843004622,9.0
2016-03-08 01:00:00,64.0,1007.0,292.63,8.0
2016-03-08 02:00:00,72.0,1012.0,291.99280292,9.0
2016-03-08 03:00:00,77.0,1006.0,291.34,8.0
2016-03-08 04:00:00,75.0,1006.0,291.19748307,8.0
2016-03-08 05:00:00,72.0,1006.0,290.98,9.0
2016-03-08 06:00:00,72.0,1007.0,290.31,5.0
2016-03-08 07:00:00,71.0,1006.0,290.299938766,5.0
2016-03-08 08:00:00,68.0,1006.0,290.15,5.0
2016-03-08 09:00:00,69.0,1006.0,289.933360237,4.0
2016-03-08 10:00:00,72.0,1006.0,289.65,4.0
2016-03-08 11:00:00,71.0,1012.0,290.041797176,6.0
2016-03-08 12:00:00,67.0,1007.0,288.81,4.0
2016-03-08 13:00:00,69.0,1007.0,288.514545833,5.0
2016-03-08 14:00:00,72.0,1008.0,288.12,5.0
2016-03-08 15:00:00,70.0,1008.0,288.820587042,7.0
2016-03-08 16:00:00,68.0,1010.0,289.8,9.0
2016-03-08 17:00:00,74.0,1015.0,290.19453621,8.0
2016-03-08 18:00:00,68.0,1010.0,291.14,6.0
2016-03-08 19:00:00,68.0,1009.0,291.572220383,6.0
2016-03-08 20:00:00,68.0,1009.0,292.15,6.0
2016-03-08 21:00:00,73.0,1008.0,290.664007491,4.0
2016-03-08 22:00:00,82.0,1007.0,288.64,2.0
2016-03-08 23:00:00,90.0,1013.0,288.292778263,2.0
2016-03-09 00:00:00,93.0,1007.0,287.64,1.0
2016-03-09 01:00:00,93.0,1007.0,287.37278135,1.0
2016-03-09 02:00:00,93.0,1007.0,286.98,2.0
2016-03-09 03:00:00,95.0,1007.0,286.850054255,2.0
2016-03-09 04:00:00,100.0,1008.0,286.65,2.0
2016-03-09 05:00:00,98.0,1014.0,286.755918523,2.0
2016-03-09 06:00:00,93.0,1009.0,286.31,1.0
2016-03-09 07:00:00,90.0,1009.0,286.172328517,2.0
2016-03-09 08:00:00,87.0,1011.0,286.0,4.0
2016-03-09 09:00:00,92.0,1010.0,285.5684,5.0
2016-03-09 10:00:00,100.0,1010.0,285.01,6.0
2016-03-09 11:00:00,97.0,1017.0,285.544798548,4.0
2016-03-09 12:00:00,93.0,1013.0,283.65,2.0
2016-03-09 13:00:00,93.0,1013.0,283.388371462,3.0
2016-03-09 14:00:00,93.0,1013.0,282.99,4.0
2016-03-09 15:00:00,86.0,1013.0,283.093732504,3.0
2016-03-09 16:00:00,76.0,1015.0,283.28,2.0
2016-03-09 17:00:00,77.0,1020.0,286.21216957,3.0
2016-03-09 18:00:00,71.0,1016.0,285.14,4.0
2016-03-09 19:00:00,64.0,1015.0,286.592541548,3.0
2016-03-09 20:00:00,51.0,1014.0,289.31,3.0
2016-03-09 21:00:00,51.0,1014.0,289.483777236,3.0
2016-03-09 22:00:00,51.0,1014.0,289.82,3.0
2016-03-09 23:00:00,55.0,1019.0,289.323373004,3.0
2016-03-10 00:00:00,50.0,1015.0,286.65,3.0
2016-03-10 01:00:00,52.0,1015.0,286.130230268,3.0
2016-03-10 02:00:00,58.0,1016.0,284.77,3.0
2016-03-10 03:00:00,59.0,1016.0,284.153232409,3.0
