,humidity,pressure,temperature,wind_speed
2016-03-01 00:00:00,13.0,1015.0,301.75,2.0
2016-03-01 01:00:00,17.0,1015.0,301.154247788,1.0
2016-03-01 02:00:00,23.0,1015.0,300.39,1.0
2016-03-01 03:00:00,20.0,1015.0,298.447981651,1.0
2016-03-01 04:00:00,17.0,1016.0,296.07,1.0
2016-03-01 05:00:00,32.0,1022.0,291.350551724,1.0
2016-03-01 06:00:00,20.0,1017.0,290.9,4.0
2016-03-01 07:00:00,24.0,1017.0,289.920512095,2.0
2016-03-01 08:00:00,29.0,1017.0,288.9,1.0
2016-03-01 09:00:00,30.0,1017.0,287.65868446,1.0
2016-03-01 10:00:00,32.0,1018.0,286.35,0.0
2016-03-01 11:00:00,43.0,1024.0,284.579282944,1.0
2016-03-01 12:00:00,37.0,1017.0,284.92,1.0
2016-03-01 13:00:00,40.0,1017.0,284.874201521,1.0
2016-03-01 14:00:00,45.0,1019.0,284.81,1.0
2016-03-01 15:00:00,30.0,1020.0,287.91,2.0
2016-03-01 16:00:00,36.0,1020.0,291.66,2.0
2016-03-01 17:00:00,37.0,1023.0,292.673649446,2.0
2016-03-01 18:00:00,34.0,1020.0,294.2,2.0
2016-03-01 19:00:00,20.0,1019.0,298.86,4.0
2016-03-01 20:00:00,20.0,1019.0,298.863722391,4.0
2016-03-01 21:00:00,36.0,1018.0,300.59,3.0
2016-03-01 22:00:00,25.0,1017.0,301.174431689,2.0
2016-03-01 23:00:00,13.0,1017.0,301.84,2.0
2016-03-02 00:00:00,13.0,1017.0,302.149744166,1.0
2016-03-02 01:00:00,13.0,1017.0,302.48,1.0
2016-03-02 02:00:00,22.0,1023.0,296.790731239,1.0
2016-03-02 03:00:00,41.0,1017.0,297.53,1.0
2016-03-02 04:00:00,32.0,1017.0,295.368246036,1.0
2016-03-02 05:00:00,23.0,1018.0,293.0,2.0
2016-03-02 06:00:00,25.0,1017.0,289.58,2.0
2016-03-02 07:00:00,28.0,1017.0,288.16,3.0
2016-03-02 08:00:00,28.0,1017.0,288.124970297,3.0
2016-03-02 09:00:00,32.0,1017.0,287.53,1.0
2016-03-02 10:00:00,32.0,1016.0,286.393676491,1.0
2016-03-02 11:00:00,34.0,1016.0,285.08,2.0
2016-03-02 12:00:00,36.0,1016.0,285.04690317,1.0
2016-03-02 13:00:00,39.0,1017.0,285.01,1.0
2016-03-02 14:00:00,41.0,1023.0,284.746458601,1.0
2016-03-02 15:00:00,43.0,1017.0,285.06,2.0
2016-03-02 16:00:00,37.0,1017.0,288.756279837,1.0
2016-03-02 17:00:00,30.0,1018.0,293.96,0.0
2016-03-02 18:00:00,35.0,1018.0,295.300695666,2.0
2016-03-02 19:00:00,44.0,1018.0,297.25,5.0
2016-03-02 20:00:00,40.0,1022.0,298.454595133,3.0
2016-03-02 21:00:00,16.0,1015.0,301.42,1.0
2016-03-02 22:00:00,14.0,1015.0,301.676560582,1.0
2016-03-02 23:00:00,13.0,1015.0,302.13,1.0
2016-03-03 00:00:00,12.0,1015.0,302.239225985,1.0
2016-03-03 01:00:00,12.0,1015.0,302.42,1.0
2016-03-03 02:00:00,19.0,1020.0,297.44499682,1.0
