,humidity,pressure,temperature,wind_speed
2016-03-01 00:00:00,76.0,1023.0,283.83,2.0
2016-03-01 01:00:00,73.0,1022.0,283.575323741,2.0
2016-03-01 02:00:00,71.0,1022.0,283.24,3.0
2016-03-01 03:00:00,72.0,1021.0,282.308941784,2.0
2016-03-01 04:00:00,75.0,1020.0,281.14,1.0
2016-03-01 05:00:00,85.0,1025.0,280.026805724,1.0
2016-03-01 06:00:00,87.0,1018.0,280.93,1.0
2016-03-01 07:00:00,87.0,1017.0,280.988047538,1.0
2016-03-01 08:00:00,87.0,1016.0,281.05,1.0
2016-03-01 09:00:00,87.0,1015.0,281.064434959,5.0
2016-03-01 10:00:00,87.0,1015.0,281.08,9.0
2016-03-01 11:00:00,93.0,1020.0,281.191705781,5.0
2016-03-01 12:00:00,87.0,1012.0,281.1,4.0
2016-03-01 13:00:00,92.0,1011.0,281.120381511,5.0
2016-03-01 14:00:00,100.0,1011.0,281.15,6.0
2016-03-01 15:00:00,87.0,1008.0,281.52,5.0
2016-03-01 16:00:00,93.0,1008.0,281.85,7.0
2016-03-01 17:00:00,93.0,1011.0,282.214788167,6.0
2016-03-01 18:00:00,81.0,1005.0,282.21,7.0
2016-03-01 19:00:00,71.0,1005.0,283.38935123,8.0
2016-03-01 20:00:00,62.0,1005.0,284.59,9.0
2016-03-01 21:00:00,81.0,1006.0,285.76,8.0
2016-03-01 22:00:00,78.0,1006.0,285.930946712,8.0
2016-03-01 23:00:00,76.0,1007.0,286.13,9.0
2016-03-02 00:00:00,68.0,1008.0,285.546812245,7.0
2016-03-02 01:00:00,61.0,1011.0,284.91,5.0
2016-03-02 02:00:00,70.0,1017.0,282.378518424,5.0
2016-03-02 03:00:00,66.0,1012.0,283.1,3.0
2016-03-02 04:00:00,70.0,1012.0,282.481893575,5.0
2016-03-02 05:00:00,75.0,1012.0,281.79,7.0
2016-03-02 06:00:00,70.0,1015.0,281.7,7.0
2016-03-02 07:00:00,70.0,1015.0,281.723879552,6.0
2016-03-02 08:00:00,75.0,1016.0,281.85,5.0
2016-03-02 09:00:00,81.0,1018.0,281.5,4.0
2016-03-02 10:00:00,81.0,1018.0,281.504584068,4.0
2016-03-02 11:00:00,81.0,1018.0,281.51,4.0
2016-03-02 12:00:00,78.0,1018.0,281.22531559,3.0
2016-03-02 13:00:00,75.0,1019.0,280.9,3.0
2016-03-02 14:00:00,81.0,1024.0,279.44182644,2.0
2016-03-02 15:00:00,75.0,1018.0,279.55,3.0
2016-03-02 16:00:00,75.0,1018.0,280.126329436,2.0
2016-03-02 17:00:00,75.0,1018.0,280.96,1.0
2016-03-02 18:00:00,75.0,1017.0,281.660109907,1.0
2016-03-02 19:00:00,76.0,1016.0,282.71,1.0
2016-03-02 20:00:00,75.0,1020.0,284.482050437,1.0
2016-03-02 21:00:00,54.0,1015.0,285.36,2.0
2016-03-02 22:00:00,55.0,1014.0,285.440763859,1.0
2016-03-02 23:00:00,58.0,1013.0,285.59,1.0
2016-03-03 00:00:00,64.0,1012.0,285.218839372,1.0
2016-03-03 01:00:00,76.0,1011.0,284.58,1.0
2016-03-03 02:00:00,78.0,1016.0,283.302038437,1.0
2016-03-03 03:00:00,93.0,1010.0,282.44,2.0
2016-03-03 04:00:00,93.0,1009.0,282.499900717,2.0
2016-03-03 05:00:00,93.0,1009.0,282.6,1.0
2016-03-03 06:00:00,95.0,1010.0,282.55596362,2.0
2016-03-03 07:00:00,100.0,1012.0,282.49,4.0
2016-03-03 08:00:00,99.0,1018.0,282.619175451,2.0
2016-03-03 09:00:00,100.0,1013.0,283.03,3.0
2016-03-03 10:00:00,98.0,1013.0,282.904566327,3.0
2016-03-03 11:00:00,93.0,1015.0,282.59,3.0
2016-03-03 12:00:00,90.0,1015.0,282.672755325,3.0
2016-03-03 13:00:00,81.0,1015.0,282.97,3.0
2016-03-03 14:00:00,85.0,1018.0,282.537199369,2.0
2016-03-03 15:00:00,87.0,1016.0,282.88,3.0
2016-03-03 16:00:00,84.0,1016.0,283.301429949,3.0
2016-03-03 17:00:00,76.0,1017.0,285.0,5.0
2016-03-03 18:00:00,73.0,1017.0,285.291302241,5.0
2016-03-03 19:00:00,62.0,1018.0,286.39,5.0
2016-03-03 20:00:00,75.0,1022.0,284.999032258,4.0
2016-03-03 21:00:00,76.0,1018.0,287.06,3.0
2016-03-03 22:00:00,72.0,1017.0,287.455209581,3.0
2016-03-03 23:00:00,59.0,1017.0,289.04,3.0
2016-03-04 00:00:00,58.0,1017.0,289.001183544,3.0
2016-03-04 01:00:00,74.0,1023.0,286.034100143,2.0
2016-03-04 02:00:00,51.0,1017.0,288.62,3.0
2016-03-04 03:00:00,57.0,1016.0,287.285581644,2.0
2016-03-04 04:00:00,83.0,1023.0,282.192222222,1.0
2016-03-04 05:00:00,76.0,1016.0,283.8,1.0
2016-03-04 06:00:00,77.0,1015.0,282.874324324,1.0
2016-03-04 07:00:00,81.0,1015.0,281.06,3.0
2016-03-04 08:00:00,82.0,1019.0,279.648398693,2.0
2016-03-04 09:00:00,87.0,1014.0,280.59,6.0
2016-03-04 10:00:00,88.0,1013.0,280.403792916,5.0
2016-03-04 11:00:00,93.0,1013.0,279.65,1.0
2016-03-04 12:00:00,90.0,1013.0,279.608526142,2.0
2016-03-04 13:00:00,81.0,1013.0,279.42,5.0
2016-03-04 14:00:00,82.0,1016.0,279.025489124,4.0
2016-03-04 15:00:00,93.0,1013.0,279.37,1.0
2016-03-04 16:00:00,88.0,1013.0,279.780248866,2.0
2016-03-04 17:00:00,70.0,1013.0,281.6,4.0
2016-03-04 18:00:00,68.0,1012.0,281.991159935,4.0
2016-03-04 19:00:00,62.0,1012.0,283.69,5.0
2016-03-04 20:00:00,67.0,1016.0,284.037244629,4.0
2016-03-04 21:00:00,54.0,1010.0,286.02,4.0
2016-03-04 22:00:00,54.0,1009.0,286.190677041,4.0
2016-03-04 23:00:00,58.0,1009.0,287.03,3.0
2016-03-05 00:00:00,58.0,1008.0,286.872092676,3.0
2016-03-05 01:00:00,62.0,1006.0,286.08,2.0
2016-03-05 02:00:00,69.0,1009.0,284.962428954,1.0
2016-03-05 03:00:00,66.0,1004.0,284.35,2.0
2016-03-05 04:00:00,67.0,1003.0,284.163217391,1.0
2016-03-05 05:00:00,71.0,1002.0,283.42,0.0
2016-03-05 06:00:00,69.0,1001.0,283.415426309,0.0
2016-03-05 07:00:00,66.0,1001.0,283.4,0.0
2016-03-05 08:00:00,77.0,1006.0,282.798207534,1.0
2016-03-05 09:00:00,87.0,1002.0,283.06,4.0
2016-03-05 10:00:00,87.0,1002.0,283.256904494,4.0
2016-03-05 11:00:00,87.0,1002.0,283.9,4.0
2016-03-05 12:00:00,87.0,1002.0,283.951097663,3.0
2016-03-05 13:00:00,87.0,1003.0,284.11,2.0
2016-03-05 14:00:00,90.0,1007.0,283.527927252,2.0
2016-03-05 15:00:00,93.0,1003.0,284.2,1.0
2016-03-05 16:00:00,91.0,1003.0,284.478956347,1.0
2016-03-05 17:00:00,87.0,1004.0,285.43,3.0
2016-03-05 18:00:00,86.0,1003.0,285.675642091,3.0
2016-03-05 19:00:00,82.0,1003.0,286.8,5.0
2016-03-05 20:00:00,82.0,1007.0,287.263765929,3.0
2016-03-05 21:00:00,72.0,1000.0,289.19,3.0
2016-03-05 22:00:00,67.0,998.0,288.845234534,3.0
2016-03-05 23:00:00,59.0,997.0,288.21,2.0
2016-03-06 00:00:00,57.0,994.0,288.162702891,3.0
2016-03-06 01:00:00,55.0,992.0,288.11,4.0
2016-03-06 02:00:00,75.0,997.0,286.27384588,3.0
2016-03-06 03:00:00,71.0,990.0,286.11,2.0
