,humidity,pressure,temperature,wind_speed
2016-03-01 00:00:00,22.0,1013.0,291.98,4.0
2016-03-01 01:00:00,30.0,1013.0,289.633326878,4.0
2016-03-01 02:00:00,41.0,1013.0,286.83,4.0
2016-03-01 03:00:00,46.0,1013.0,285.969312321,5.0
2016-03-01 04:00:00,53.0,1013.0,284.99,6.0
2016-03-01 05:00:00,53.0,1019.0,282.999836274,5.0
2016-03-01 06:00:00,61.0,1012.0,284.17,5.0
2016-03-01 07:00:00,66.0,1010.0,282.67,5.0
2016-03-01 08:00:00,66.0,1010.0,282.626286518,5.0
2016-03-01 09:00:00,68.0,1008.0,282.584125372,4.0
2016-03-01 10:00:00,70.0,1008.0,282.5,3.0
2016-03-01 11:00:00,81.0,1015.0,282.97680126,3.0
2016-03-01 12:00:00,81.0,1007.0,282.68,2.0
2016-03-01 13:00:00,81.0,1007.0,282.891402925,1.0
2016-03-01 14:00:00,81.0,1007.0,283.16,1.0
2016-03-01 15:00:00,80.0,1012.0,279.52,10.0
2016-03-01 16:00:00,70.0,1011.0,277.64,8.0
2016-03-01 17:00:00,86.0,1011.0,276.14,8.0
2016-03-01 18:00:00,85.0,1011.0,276.124231146,8.0
2016-03-01 19:00:00,74.0,1015.0,275.16,11.0
2016-03-01 20:00:00,73.0,1015.0,275.381191083,11.0
2016-03-01 21:00:00,74.0,1015.0,274.64,10.0
2016-03-01 22:00:00,69.0,1016.0,274.562453848,8.0
2016-03-01 23:00:00,64.0,1018.0,274.48,5.0
2016-03-02 00:00:00,55.0,1019.0,274.35,7.0
2016-03-02 01:00:00,55.0,1019.0,274.341410143,7.0
2016-03-02 02:00:00,59.0,1027.0,273.789205072,6.0
2016-03-02 03:00:00,55.0,1021.0,273.15,8.0
2016-03-02 04:00:00,63.0,1022.0,271.65,4.0
2016-03-02 05:00:00,62.0,1022.0,271.657129334,4.0
2016-03-02 06:00:00,68.0,1023.0,270.65,4.0
2016-03-02 07:00:00,68.0,1023.0,269.82,2.0
2016-03-02 08:00:00,67.0,1023.0,269.922119332,2.0
2016-03-02 09:00:00,73.0,1023.0,269.49,3.0
2016-03-02 10:00:00,75.0,1023.0,268.84905802,2.0
2016-03-02 11:00:00,79.0,1023.0,268.16,2.0
2016-03-02 12:00:00,79.0,1024.0,267.15,1.0
2016-03-02 13:00:00,78.0,1024.0,267.227330778,1.0
2016-03-02 14:00:00,70.0,1031.0,269.904165389,1.0
2016-03-02 15:00:00,68.0,1025.0,269.94,2.0
2016-03-02 16:00:00,63.0,1024.0,270.988507064,1.0
2016-03-02 17:00:00,58.0,1024.0,272.31,1.0
2016-03-02 18:00:00,53.0,1023.0,273.624921742,1.0
2016-03-02 19:00:00,47.0,1023.0,275.32,2.0
2016-03-02 20:00:00,53.0,1027.0,279.114411108,3.0
2016-03-02 21:00:00,41.0,1021.0,278.65,5.0
2016-03-02 22:00:00,43.0,1020.0,278.65,4.0
2016-03-02 23:00:00,48.0,1019.0,278.65,4.0
2016-03-03 00:00:00,49.0,1018.0,278.614049553,4.0
2016-03-03 01:00:00,52.0,1018.0,278.56,4.0
2016-03-03 02:00:00,56.0,1023.0,278.494771477,5.0
2016-03-03 03:00:00,56.0,1018.0,278.15,3.0
2016-03-03 04:00:00,61.0,1017.0,278.026008584,3.0
2016-03-03 05:00:00,69.0,1016.0,277.84,4.0
2016-03-03 06:00:00,71.0,1016.0,277.620300616,3.0
2016-03-03 07:00:00,74.0,1016.0,277.33,2.0
2016-03-03 08:00:00,70.0,1022.0,277.675047341,3.0
2016-03-03 09:00:00,74.0,1014.0,276.98,2.0
2016-03-03 10:00:00,74.0,1013.0,276.98,2.0
2016-03-03 11:00:00,75.0,1013.0,276.98,2.0
2016-03-03 12:00:00,77.0,1013.0,277.023135024,2.0
2016-03-03 13:00:00,86.0,1013.0,277.15,3.0
2016-03-03 14:00:00,88.0,1018.0,277.585393577,3.0
2016-03-03 15:00:00,81.0,1014.0,278.32,4.0
2016-03-03 16:00:00,83.0,1014.0,278.556197703,4.0
2016-03-03 17:00:00,93.0,1014.0,279.31,2.0
2016-03-03 18:00:00,88.0,1014.0,279.603715561,2.0
2016-03-03 19:00:00,75.0,1014.0,280.48,3.0
2016-03-03 20:00:00,81.0,1019.0,280.839893832,3.0
2016-03-03 21:00:00,76.0,1014.0,281.15,2.0
2016-03-03 22:00:00,76.0,1014.0,281.11009206,2.0
2016-03-03 23:00:00,76.0,1015.0,280.98,1.0
2016-03-04 00:00:00,79.0,1015.0,280.748828061,1.0
2016-03-04 01:00:00,93.0,1023.0,279.777662677,2.0
2016-03-04 02:00:00,100.0,1017.0,279.35,4.0
2016-03-04 03:00:00,95.0,1017.0,278.574652031,4.0
2016-03-04 04:00:00,86.0,1027.0,277.256836217,4.0
2016-03-04 05:00:00,86.0,1020.0,276.82,4.0
2016-03-04 06:00:00,87.0,1020.0,276.691405856,4.0
2016-03-04 07:00:00,89.0,1021.0,276.48,4.0
2016-03-04 08:00:00,90.0,1026.0,274.595186446,4.0
2016-03-04 09:00:00,94.0,1021.0,275.65,5.0
2016-03-04 10:00:00,90.0,1021.0,275.532308846,4.0
2016-03-04 11:00:00,80.0,1022.0,275.15,4.0
2016-03-04 12:00:00,80.0,1022.0,275.11240089,4.0
2016-03-04 13:00:00,80.0,1023.0,274.98,2.0
2016-03-04 14:00:00,83.0,1027.0,274.683871948,2.0
2016-03-04 15:00:00,69.0,1024.0,275.31,2.0
2016-03-04 16:00:00,69.0,1024.0,275.505764186,2.0
2016-03-04 17:00:00,69.0,1025.0,276.15,2.0
2016-03-04 18:00:00,69.0,1024.0,276.270002918,2.0
2016-03-04 19:00:00,69.0,1024.0,276.65,2.0
2016-03-04 20:00:00,74.0,1027.0,278.722548739,2.0
2016-03-04 21:00:00,69.0,1022.0,277.66,2.0
2016-03-04 22:00:00,69.0,1021.0,277.692624777,3.0
2016-03-04 23:00:00,69.0,1021.0,277.82,4.0
2016-03-05 00:00:00,71.0,1021.0,277.286394187,3.0
2016-03-05 01:00:00,80.0,1021.0,275.32,1.0
2016-03-05 02:00:00,83.0,1025.0,275.091850107,2.0
2016-03-05 03:00:00,80.0,1021.0,275.15,2.0
2016-03-05 04:00:00,80.0,1020.0,275.31121507,2.0
2016-03-05 05:00:00,81.0,1020.0,275.81,3.0
2016-03-05 06:00:00,84.0,1019.0,275.955318078,3.0
2016-03-05 07:00:00,93.0,1019.0,276.35,4.0
2016-03-05 08:00:00,91.0,1024.0,276.744083375,4.0
2016-03-05 09:00:00,100.0,1018.0,276.32,2.0
2016-03-05 10:00:00,96.0,1018.0,275.81376072,3.0
2016-03-05 11:00:00,86.0,1018.0,274.48,6.0
2016-03-05 12:00:00,83.0,1018.0,273.911511612,6.0
2016-03-05 13:00:00,77.0,1019.0,272.48,6.0
2016-03-05 14:00:00,78.0,1024.0,275.805910844,6.0
2016-03-05 15:00:00,65.0,1020.0,280.48,2.0
2016-03-05 16:00:00,60.0,1020.0,281.816875949,3.0
2016-03-05 17:00:00,47.0,1021.0,285.56,7.0
2016-03-05 18:00:00,46.0,1021.0,285.619052758,8.0
2016-03-05 19:00:00,43.0,1021.0,285.81,9.0
2016-03-05 20:00:00,51.0,1027.0,285.316351995,9.0
2016-03-05 21:00:00,41.0,1022.0,286.12,8.0
2016-03-05 22:00:00,42.0,1022.0,285.675324631,8.0
2016-03-05 23:00:00,46.0,1022.0,284.95,8.0
2016-03-06 00:00:00,48.0,1022.0,282.738099162,7.0
2016-03-06 01:00:00,52.0,1024.0,280.48,6.0
2016-03-06 02:00:00,64.0,1031.0,278.005869414,4.0
2016-03-06 03:00:00,64.0,1025.0,277.48,2.0
2016-03-06 04:00:00,71.0,1025.0,276.009548405,1.0
2016-03-06 05:00:00,80.0,1026.0,274.5,1.0
2016-03-06 06:00:00,86.0,1026.0,272.15,1.0
2016-03-06 07:00:00,100.0,1026.0,270.94,1.0
2016-03-06 08:00:00,97.0,1027.0,270.873293634,1.0
2016-03-06 09:00:00,100.0,1025.0,270.66,2.0
2016-03-06 10:00:00,100.0,1024.0,270.33,2.0
2016-03-06 11:00:00,86.0,1025.0,270.14,3.0
2016-03-06 12:00:00,100.0,1025.0,270.13,2.0
2016-03-06 13:00:00,99.0,1025.0,270.205230577,2.0
2016-03-06 14:00:00,86.0,1025.0,275.16,4.0
2016-03-06 15:00:00,85.0,1024.0,275.231800772,4.0
2016-03-06 16:00:00,61.0,1024.0,281.15,4.0
2016-03-06 17:00:00,61.0,1024.0,281.184258198,4.0
2016-03-06 18:00:00,43.0,1022.0,285.48,5.0
2016-03-06 19:00:00,42.0,1021.0,285.924279661,5.0
2016-03-06 20:00:00,38.0,1020.0,287.81,6.0
2016-03-06 21:00:00,36.0,1017.0,288.81,6.0
2016-03-06 22:00:00,36.0,1016.0,288.809359955,6.0
2016-03-06 23:00:00,44.0,1016.0,287.66,6.0
2016-03-07 00:00:00,44.0,1016.0,287.658375571,6.0
2016-03-07 01:00:00,52.0,1023.0,286.653824542,6.0
2016-03-07 02:00:00,50.0,1016.0,286.97,6.0
2016-03-07 03:00:00,50.0,1015.0,286.15,5.0
2016-03-07 04:00:00,50.0,1014.0,286.147554348,5.0
2016-03-07 05:00:00,62.0,1013.0,286.0,4.0
2016-03-07 06:00:00,71.0,1014.0,285.52,3.0
2016-03-07 07:00:00,70.0,1013.0,285.525920011,3.0
2016-03-07 08:00:00,58.0,1013.0,286.01,4.0
2016-03-07 09:00:00,57.0,1012.0,286.012191818,4.0
2016-03-07 10:00:00,52.0,1019.0,286.131974895,5.0
2016-03-07 11:00:00,54.0,1012.0,286.2,4.0
2016-03-07 12:00:00,58.0,1012.0,286.68,5.0
2016-03-07 13:00:00,58.0,1011.0,286.65,2.0
2016-03-07 14:00:00,60.0,1016.0,287.166208719,3.0
2016-03-07 15:00:00,50.0,1013.0,287.35,3.0
2016-03-07 16:00:00,49.0,1013.0,288.071544178,4.0
2016-03-07 17:00:00,48.0,1013.0,289.12,7.0
2016-03-07 18:00:00,35.0,1012.0,293.98,5.0
2016-03-07 19:00:00,35.0,1012.0,293.964589681,5.0
2016-03-07 20:00:00,47.0,1018.0,293.52429484,6.0
2016-03-07 21:00:00,28.0,1011.0,295.98,5.0
2016-03-07 22:00:00,30.0,1010.0,295.841378834,5.0
2016-03-07 23:00:00,33.0,1010.0,295.64,6.0
2016-03-08 00:00:00,37.0,1010.0,294.897262539,5.0
2016-03-08 01:00:00,43.0,1011.0,293.82,5.0
2016-03-08 02:00:00,54.0,1018.0,291.852653992,5.0
