,humidity,pressure,temperature,wind_speed
2016-03-01 00:00:00,36.0,1016.0,294.65,2.0
2016-03-01 01:00:00,40.0,1016.0,293.734080786,2.0
2016-03-01 02:00:00,46.0,1016.0,292.54,2.0
2016-03-01 03:00:00,66.0,1016.0,290.734774194,3.0
2016-03-01 04:00:00,93.0,1017.0,288.49,3.0
2016-03-01 05:00:00,91.0,1023.0,285.847417941,2.0
2016-03-01 06:00:00,100.0,1018.0,286.94,1.0
2016-03-01 07:00:00,96.0,1018.0,286.351943423,1.0
2016-03-01 08:00:00,93.0,1018.0,285.73,1.0
2016-03-01 09:00:00,96.0,1017.0,285.80733261,1.0
2016-03-01 10:00:00,100.0,1017.0,285.89,1.0
2016-03-01 11:00:00,93.0,1023.0,283.003315398,1.0
2016-03-01 12:00:00,100.0,1018.0,285.04,0.0
2016-03-01 13:00:00,97.0,1018.0,285.048233743,0.0
2016-03-01 14:00:00,93.0,1019.0,285.06,1.0
2016-03-01 15:00:00,100.0,1020.0,285.25,1.0
2016-03-01 16:00:00,100.0,1019.0,286.06,1.0
2016-03-01 17:00:00,89.0,1022.0,288.632380049,1.0
2016-03-01 18:00:00,40.0,1020.0,289.73,1.0
2016-03-01 19:00:00,49.0,1020.0,294.05,5.0
2016-03-01 20:00:00,49.0,1020.0,294.057272879,5.0
2016-03-01 21:00:00,30.0,1018.0,294.16,3.0
2016-03-01 22:00:00,30.0,1017.0,294.554466487,2.0
2016-03-01 23:00:00,30.0,1017.0,295.01,2.0
2016-03-02 00:00:00,34.0,1017.0,294.299516854,2.0
2016-03-02 01:00:00,39.0,1017.0,293.53,2.0
2016-03-02 02:00:00,58.0,1024.0,290.539599324,1.0
2016-03-02 03:00:00,77.0,1019.0,289.38,3.0
2016-03-02 04:00:00,87.0,1019.0,288.403796178,2.0
2016-03-02 05:00:00,100.0,1019.0,287.32,0.0
2016-03-02 06:00:00,93.0,1019.0,286.3,2.0
2016-03-02 07:00:00,100.0,1019.0,286.32,0.0
2016-03-02 08:00:00,99.0,1019.0,286.300217548,0.0
2016-03-02 09:00:00,93.0,1018.0,285.26,3.0
2016-03-02 10:00:00,96.0,1018.0,285.531654676,1.0
2016-03-02 11:00:00,100.0,1019.0,285.85,0.0
