,humidity,pressure,temperature,wind_speed
2016-03-01 00:00:00,81.0,1022.0,283.85,2.0
2016-03-01 01:00:00,83.0,1021.0,283.424031544,1.0
2016-03-01 02:00:00,87.0,1021.0,282.86,1.0
2016-03-01 03:00:00,89.0,1020.0,282.294414337,1.0
2016-03-01 04:00:00,93.0,1019.0,281.58,1.0
2016-03-01 05:00:00,94.0,1024.0,280.198213117,1.0
2016-03-01 06:00:00,93.0,1019.0,281.34,1.0
2016-03-01 07:00:00,96.0,1018.0,281.084375885,1.0
2016-03-01 08:00:00,100.0,1017.0,280.81,1.0
2016-03-01 09:00:00,100.0,1016.0,280.41655107,2.0
2016-03-01 10:00:00,100.0,1015.0,279.99,2.0
2016-03-01 11:00:00,100.0,1020.0,279.131172414,2.0
2016-03-01 12:00:00,100.0,1012.0,279.99,1.0
2016-03-01 13:00:00,100.0,1010.0,279.96161134,1.0
2016-03-01 14:00:00,100.0,1009.0,279.92,2.0
2016-03-01 15:00:00,93.0,1006.0,280.37,2.0
2016-03-01 16:00:00,87.0,1005.0,280.73,5.0
2016-03-01 17:00:00,87.0,1008.0,281.268925373,4.0
2016-03-01 18:00:00,100.0,1003.0,281.69,4.0
2016-03-01 19:00:00,96.0,1002.0,282.762560123,3.0
2016-03-01 20:00:00,93.0,1002.0,283.86,2.0
2016-03-01 21:00:00,87.0,1001.0,284.25,5.0
2016-03-01 22:00:00,81.0,1001.0,284.107190024,5.0
2016-03-01 23:00:00,76.0,1002.0,283.94,6.0
2016-03-02 00:00:00,85.0,1003.0,283.558651685,9.0
2016-03-02 01:00:00,96.0,1006.0,283.14,13.0
2016-03-02 02:00:00,96.0,1013.0,281.898513995,9.0
2016-03-02 03:00:00,87.0,1009.0,280.56,8.0
2016-03-02 04:00:00,93.0,1008.0,279.920215054,6.0
2016-03-02 05:00:00,100.0,1008.0,279.2,4.0
2016-03-02 06:00:00,93.0,1009.0,279.64,5.0
2016-03-02 07:00:00,94.0,1009.0,279.702745098,5.0
2016-03-02 08:00:00,100.0,1009.0,280.04,4.0
2016-03-02 09:00:00,93.0,1012.0,280.83,4.0
2016-03-02 10:00:00,90.0,1012.0,281.053965821,4.0
